09.47.03.542334,sb1,login,
09.47.08.013891,sb1,words ,1,
09.47.08.547980,sb1,words ,1,
09.47.08.574068,sb1,words ,1,
09.47.08.621395,sb1,words ,1,
09.47.08.658614,sb1,words ,1,
09.47.08.685280,sb1,words ,1,
09.47.08.735418,sb1,words ,1,
09.47.08.762145,sb1,words ,1,
09.47.08.800510,sb1,words ,1,
09.47.08.848295,sb1,words ,1,
09.47.08.875429,sb1,words ,1,
09.47.08.922570,sb1,words ,1,
09.47.08.948632,sb1,words ,1,
09.47.08.979713,sb1,words ,1,
09.47.09.030937,sb1,words ,1,
09.47.09.062997,sb1,words ,1,
09.47.09.092107,sb1,words ,1,
09.47.09.136802,sb1,words ,1,
09.47.09.167982,sb1,words ,1,
09.47.09.219309,sb1,words ,1,
09.47.09.247740,sb1,words ,1,
09.47.09.277962,sb1,words ,1,
09.47.09.324391,sb1,words ,1,
09.47.09.360739,sb1,words ,1,
09.47.09.408281,sb1,words ,1,
09.47.09.434710,sb1,words ,1,
09.47.09.465313,sb1,words ,1,
09.47.09.512924,sb1,words ,1,
09.47.09.545929,sb1,words ,1,
09.47.09.577305,sb1,words ,1,
09.47.09.625535,sb1,words ,1,
09.47.09.651585,sb1,words ,1,
09.47.09.701265,sb1,words ,1,
09.47.09.739371,sb1,words ,1,
09.47.09.764436,sb1,words ,1,
09.47.09.813563,sb1,words ,1,
09.47.09.841638,sb1,words ,1,
09.47.09.876733,sb1,words ,1,
09.47.09.923857,sb1,words ,1,
09.47.09.950929,sb1,words ,1,
09.47.09.999720,sb1,words ,1,
09.47.10.027046,sb1,words ,1,
09.47.10.068510,sb1,words ,1,
09.47.10.104356,sb1,words ,1,
09.47.10.138052,sb1,words ,1,
09.47.10.169969,sb1,words ,1,
09.47.10.214974,sb1,words ,1,
09.47.10.246896,sb1,words ,1,
09.47.10.282745,sb1,words ,1,
09.47.10.327224,sb1,words ,1,
09.47.10.356992,sb1,words ,1,
09.47.10.402127,sb1,words ,1,
09.47.10.435112,sb1,words ,1,
09.47.10.472472,sb1,words ,1,
09.47.10.513139,sb1,words ,1,
09.47.10.545576,sb1,words ,1,
09.47.10.590887,sb1,words,1,
09.47.10.622180,sb1,words,1,
09.47.10.657971,sb1,words,1,
09.47.10.701596,sb1,words,1,
09.47.10.731086,sb1,words,1,
09.47.10.776725,sb1,words,1,
09.47.10.810528,sb1,words,1,
09.47.10.842344,sb1,words,1,
09.47.10.886219,sb1,words,1,
09.47.10.918505,sb1,words,1,
09.47.10.967490,sb1,words,1,
09.47.10.996715,sb1,words,1,
09.47.11.033448,sb1,words,1,
09.47.11.076231,sb1,words,1,
09.47.11.105963,sb1,words,1,
09.47.11.139751,sb1,words,1,
09.47.11.184398,sb1,words,1,
09.47.11.221575,sb1,words,1,
09.47.11.248666,sb1,words,1,
09.47.11.294395,sb1,words,1,
09.47.11.323904,sb1,words,1,
09.47.11.358985,sb1,words,1,
09.47.11.406335,sb1,words,1,
09.47.11.434637,sb1,words,1,
09.47.11.480515,sb1,words,1,
09.47.11.512747,sb1,words,1,
09.47.11.546951,sb1,words,1,
09.47.11.593480,sb1,words,1,
09.47.11.621228,sb1,words,1,
09.47.11.659567,sb1,words,1,
09.47.11.701413,sb1,words,1,
09.47.11.733788,sb1,words,1,
09.47.11.781261,sb1,words,1,
09.47.11.810373,sb1,words,1,
