09.47.03.536379 sb1 login 
09.47.08.009880 sb1 words 1 
09.47.08.543969 sb1 words 1 
09.47.08.570044 sb1 words 1 
09.47.08.617396 sb1 words 1 
09.47.08.654584 sb1 words 1 
09.47.08.680265 sb1 words 1 
09.47.08.731409 sb1 words 1 
09.47.08.758138 sb1 words 1 
09.47.08.796450 sb1 words 1 
09.47.08.844285 sb1 words 1 
09.47.08.869434 sb1 words 1 
09.47.08.918545 sb1 words 1 
09.47.08.944616 sb1 words 1 
09.47.08.975697 sb1 words 1 
09.47.09.026902 sb1 words 1 
09.47.09.058987 sb1 words 1 
09.47.09.087061 sb1 words 1 
09.47.09.132777 sb1 words 1 
09.47.09.163971 sb1 words 1 
09.47.09.215256 sb1 words 1 
09.47.09.243730 sb1 words 1 
09.47.09.272949 sb1 words 1 
09.47.09.320381 sb1 words 1 
09.47.09.356714 sb1 words 1 
09.47.09.404271 sb1 words 1 
09.47.09.430699 sb1 words 1 
09.47.09.461315 sb1 words 1 
09.47.09.507909 sb1 words 1 
09.47.09.541958 sb1 words 1 
09.47.09.572311 sb1 words 1 
09.47.09.621491 sb1 words 1 
09.47.09.647549 sb1 words 1 
09.47.09.696251 sb1 words 1 
09.47.09.734355 sb1 words 1 
09.47.09.760423 sb1 words 1 
09.47.09.809552 sb1 words 1 
09.47.09.835623 sb1 words 1 
09.47.09.871722 sb1 words 1 
09.47.09.918844 sb1 words 1 
09.47.09.945914 sb1 words 1 
09.47.09.995719 sb1 words 1 
09.47.10.023003 sb1 words 1 
09.47.10.064499 sb1 words 1 
09.47.10.100370 sb1 words 1 
09.47.10.133009 sb1 words 1 
09.47.10.165965 sb1 words 1 
09.47.10.210949 sb1 words 1 
09.47.10.242924 sb1 words 1 
09.47.10.278709 sb1 words 1 
09.47.10.321208 sb1 words 1 
09.47.10.351981 sb1 words 1 
09.47.10.398080 sb1 words 1 
09.47.10.431110 sb1 words 1 
09.47.10.467473 sb1 words 1 
09.47.10.508108 sb1 words 1 
09.47.10.540558 sb1 words 1 
09.47.10.586915 sb1 words 1 
09.47.10.617178 sb1 words 1 
09.47.10.652966 sb1 words 1 
09.47.10.697571 sb1 words 1 
09.47.10.726070 sb1 words 1 
09.47.10.772680 sb1 words 1 
09.47.10.806533 sb1 words 1 
09.47.10.837277 sb1 words 1 
09.47.10.882209 sb1 words 1 
09.47.10.914494 sb1 words 1 
09.47.10.962441 sb1 words 1 
09.47.10.992689 sb1 words 1 
09.47.11.029396 sb1 words 1 
09.47.11.072183 sb1 words 1 
09.47.11.100927 sb1 words 1 
09.47.11.134702 sb1 words 1 
09.47.11.180388 sb1 words 1 
09.47.11.216532 sb1 words 1 
09.47.11.244661 sb1 words 1 
09.47.11.290385 sb1 words 1 
09.47.11.318900 sb1 words 1 
09.47.11.354978 sb1 words 1 
09.47.11.401329 sb1 words 1 
09.47.11.430626 sb1 words 1 
09.47.11.476473 sb1 words 1 
09.47.11.508733 sb1 words 1 
09.47.11.542923 sb1 words 1 
09.47.11.588459 sb1 words 1 
09.47.11.616192 sb1 words 1 
09.47.11.654537 sb1 words 1 
09.47.11.697421 sb1 words 1 
09.47.11.729781 sb1 words 1 
09.47.11.777251 sb1 words 1 
09.47.11.805333 sb1 words 1 
09.47.11.839585 sb1 words 1 
09.47.11.883827 sb1 words 1 
09.47.11.919463 sb1 words 1 
09.47.11.965792 sb1 words 1 
09.47.11.992203 sb1 words 1 
09.47.12.040896 sb1 words 1 
09.47.12.071102 sb1 words 1 
09.47.12.105881 sb1 words 1 
09.47.12.154254 sb1 words 1 
09.47.12.179228 sb1 words 1 
09.47.12.217753 sb1 words 1 
09.47.12.260548 sb1 words 1 
09.47.12.293247 sb1 words 1 
09.47.12.340895 sb1 words 1 
09.47.12.368254 sb1 words 1 
09.47.12.403509 sb1 words 1 
09.47.12.434763 sb1 words 1 
09.47.12.481145 sb1 words 1 
09.47.12.524290 sb1 words 1 
09.47.12.555933 sb1 words 1 
09.47.12.591230 sb1 words 1 
09.47.12.622137 sb1 words 1 
09.47.12.670509 sb1 words 1 
09.47.12.696892 sb1 words 1 
09.47.12.740884 sb1 words 1 
09.47.12.779248 sb1 words 1 
09.47.12.809214 sb1 words 1 
09.47.12.855504 sb1 words 1 
09.47.12.882151 sb1 words 1 
09.47.12.932006 sb1 words 1 
09.47.12.968510 sb1 words 1 
09.47.12.996421 sb1 words 1 
09.47.13.037719 sb1 words 1 
09.47.13.071499 sb1 words 1 
09.47.13.106626 sb1 words 1 
09.47.13.147074 sb1 words 1 
09.47.13.184401 sb1 words 1 
09.47.13.231362 sb1 words 1 
09.47.13.260423 sb1 words 1 
09.47.13.291604 sb1 words 1 
09.47.13.342631 sb1 words 1 
09.47.13.373268 sb1 words 1 
09.47.13.418427 sb1 words 1 
09.47.13.445802 sb1 words 1 
09.47.13.478213 sb1 words 1 
09.47.13.525858 sb1 words 1 
09.47.13.560079 sb1 words 1 
09.47.13.606724 sb1 words 1 
09.47.13.633088 sb1 words 1 
09.47.13.672362 sb1 words 1 
09.47.13.715604 sb1 words 1 
09.47.13.746646 sb1 words 1 
09.47.13.773267 sb1 words 1 
09.47.13.820156 sb1 words 1 
09.47.13.851632 sb1 words 1 
09.47.13.902900 sb1 words 1 
09.47.13.933380 sb1 words 1 
09.47.13.961765 sb1 words 1 
09.47.14.001305 sb1 words 1 
09.47.14.047755 sb1 words 1 
09.47.14.070114 sb1 words 1 
09.47.14.116267 sb1 words 1 
09.47.14.147358 sb1 words 1 
09.47.14.181441 sb1 words 1 
09.47.14.225558 sb1 words 1 
09.47.14.258646 sb1 words 1 
09.47.14.303767 sb1 words 1 
09.47.14.352898 sb1 words 1 
