02.39.30.336950,PL18,login,
12.02.00.639475,PL18,words,1,
12.02.00.680599,PL18,words,1,
12.02.00.712505,PL18,words,1,
12.02.00.744199,PL18,words,1,
12.02.00.791462,PL18,words,1,
12.02.00.827835,PL18,words,1,
12.02.00.851911,PL18,words,1,
12.02.00.899295,PL18,words,1,
12.02.00.931867,PL18,words,1,
12.02.00.979518,PL18,words,1,
12.02.01.014211,PL18,words,1,
12.02.01.043289,PL18,words,1,
12.02.01.077069,PL18,words,1,
12.02.01.120013,PL18,words,1,
12.02.01.165963,PL18,words,1,
12.02.01.200513,PL18,words,1,
12.02.01.228841,PL18,words,1,
12.02.01.263686,PL18,words,1,
12.02.01.306347,PL18,words,1,
12.02.01.337640,PL18,words,1,
12.02.01.387482,PL18,words,1,
12.02.01.415157,PL18,words,1,
12.02.01.452709,PL18,words,1,
12.02.01.495664,PL18,words,1,
12.02.01.524009,PL18,words,1,
12.02.01.579567,PL18,words,1,
12.02.01.603613,PL18,words,1,
12.02.01.640903,PL18,words,1,
12.02.01.682483,PL18,words,1,
12.02.01.712140,PL18,words,1,
12.02.01.766135,PL18,words,1,
12.02.01.789174,PL18,words,1,
12.02.01.825575,PL18,words,1,
12.02.01.869522,PL18,words,1,
12.02.01.899159,PL18,words,1,
12.02.01.950906,PL18,words,1,
12.02.01.978326,PL18,words,1,
12.02.02.016574,PL18,words,1,
12.02.02.525063,PL18,words,1,
12.02.03.055454,PL18,words,1,
12.02.03.087501,PL18,words,1,
12.02.03.118623,PL18,words,1,
12.02.03.167350,PL18,words,1,
12.02.03.200860,PL18,words,1,
12.02.03.243604,PL18,words,1,
12.02.03.274398,PL18,words,1,
12.02.03.305247,PL18,words,1,
12.02.03.354977,PL18,words,1,
12.02.03.388831,PL18,words,1,
12.02.03.416481,PL18,words,1,
12.02.03.453074,PL18,words,1,
12.02.03.493717,PL18,words,1,
12.02.03.541960,PL18,words,1,
12.02.03.578874,PL18,words,1,
12.02.03.602091,PL18,words,1,
12.02.03.639022,PL18,words,1,
12.02.03.681198,PL18,words,1,
12.02.03.713055,PL18,words,1,
12.02.03.764124,PL18,words,1,
12.02.03.793168,PL18,words,1,
12.02.03.827423,PL18,words,1,
12.02.03.869131,PL18,words,1,
12.02.03.900139,PL18,words,1,
12.02.03.951845,PL18,words,1,
12.02.03.978405,PL18,words,1,
12.02.04.015893,PL18,words,1,
12.02.04.056465,PL18,words,1,
