01.20.07.735810,PL40,login,
01.20.14.327390,PL40,words ,1,
01.20.15.686890,PL40,words ,2,
01.20.16.340287,PL40,words ,1,
01.20.17.278390,PL40,words ,1,
01.20.17.980733,PL40,words ,2,
01.20.18.777227,PL40,words ,2,
01.20.19.826223,PL40,words ,1,
01.20.20.390065,PL40,words ,1,
01.20.20.874860,PL40,words ,1,
01.20.21.310860,PL40,words ,1,
01.20.21.699073,PL40,words ,2,
01.20.22.107860,PL40,words ,2,
01.20.22.546465,PL40,words ,2,
01.20.22.934285,PL40,words ,2,
01.20.23.436005,PL40,words ,1,
01.20.23.855513,PL40,words ,1,
01.20.24.480735,PL40,words ,1,
01.20.24.951308,PL40,words ,2,
01.20.25.434521,PL40,words ,2,
01.20.25.795106,PL40,words ,2,
01.20.29.421175,PL40,words ,1,
01.20.29.606879,PL40,words ,1,
01.20.29.752664,PL40,words ,1,
01.20.29.889707,PL40,words ,2,
01.20.30.077291,PL40,words ,2,
01.20.30.232167,PL40,words ,2,
01.20.30.357208,PL40,words ,2,
01.20.30.497601,PL40,words ,2,
01.20.30.777804,PL40,words ,2,
01.20.30.903023,PL40,words ,2,
01.20.31.043012,PL40,words ,2,
01.20.31.203028,PL40,words ,2,
01.20.31.341231,PL40,words ,2,
01.20.31.482716,PL40,words ,2,
01.20.31.639338,PL40,words ,2,
01.20.31.778518,PL40,words ,2,
01.20.31.935546,PL40,words ,2,
01.20.32.090684,PL40,words ,2,
01.20.32.247890,PL40,words ,2,
01.20.32.374489,PL40,words ,1,
01.20.32.592293,PL40,words ,1,
01.20.32.935059,PL40,words ,1,
01.20.33.135707,PL40,words ,1,
01.20.33.341205,PL40,words ,1,
01.20.33.561142,PL40,words ,1,
01.20.33.766170,PL40,words ,1,
01.20.33.984453,PL40,words ,1,
01.20.34.184423,PL40,words ,1,
01.20.34.498761,PL40,words ,2,
01.20.34.731299,PL40,words ,2,
01.20.34.951593,PL40,words ,2,
01.20.35.154918,PL40,words ,2,
01.20.35.342013,PL40,words ,2,
01.20.35.530030,PL40,words ,2,
01.20.35.685621,PL40,words ,2,
01.20.35.857856,PL40,words ,2,
01.20.36.140067,PL40,words,1,
01.20.36.390187,PL40,words,1,
01.20.36.652869,PL40,words,1,
01.20.36.902754,PL40,words,1,
01.20.37.171838,PL40,words,1,
01.20.37.434547,PL40,words,1,
01.20.37.732207,PL40,words,1,
01.20.37.999633,PL40,words,1,
01.20.38.232049,PL40,words,2,
01.20.38.498893,PL40,words,2,
01.20.38.716453,PL40,words,2,
01.20.38.934413,PL40,words,2,
01.20.39.172478,PL40,words,2,
01.20.39.388834,PL40,words,2,
01.20.39.606187,PL40,words,2,
01.20.39.810227,PL40,words,2,
01.20.40.029617,PL40,words,2,
01.20.40.232545,PL40,words,2,
01.20.40.467661,PL40,words,2,
01.20.40.699815,PL40,words,2,
01.20.40.922061,PL40,words,1,
01.20.41.153370,PL40,words,1,
01.20.41.358884,PL40,words,1,
01.20.41.577882,PL40,words,1,
01.20.41.840937,PL40,words,1,
01.20.42.045442,PL40,words,1,
01.20.42.263923,PL40,words,1,
01.20.42.498650,PL40,words,2,
01.20.43.012875,PL40,words,2,
01.20.43.059116,PL40,words,2,
01.20.43.091705,PL40,words,2,
01.20.43.121282,PL40,words,2,
01.20.43.168446,PL40,words,2,
01.20.43.202503,PL40,words,2,
01.20.43.248119,PL40,words,2,
01.20.43.279177,PL40,words,2,
01.20.43.310761,PL40,words,2,
01.20.43.359434,PL40,words,2,
01.20.43.390518,PL40,words,2,
01.20.43.420671,PL40,words,2,
01.20.43.465527,PL40,words,2,
01.20.43.499023,PL40,words,2,
01.20.43.545179,PL40,words,2,
01.20.43.578830,PL40,words,2,
01.20.43.716851,PL40,words,1,
01.20.43.967366,PL40,words,1,
01.20.44.185916,PL40,words,1,
01.20.44.405390,PL40,words,1,
01.20.44.653258,PL40,words,1,
01.20.44.873947,PL40,words,1,
01.20.45.092529,PL40,words,1,
01.20.45.310631,PL40,words,1,
01.20.45.528421,PL40,words,2,
01.20.45.734724,PL40,words,2,
01.20.45.922256,PL40,words,2,
01.20.46.123173,PL40,words,2,
01.20.46.341688,PL40,words,2,
01.20.46.546259,PL40,words,2,
