01.20.07.728291 PL40 login 
01.20.14.320331 PL40 words 1 
01.20.15.681357 PL40 words 2 
01.20.16.334791 PL40 words 1 
01.20.17.273392 PL40 words 1 
01.20.17.975721 PL40 words 2 
01.20.18.772715 PL40 words 2 
01.20.19.821711 PL40 words 1 
01.20.20.385553 PL40 words 1 
01.20.20.870332 PL40 words 1 
01.20.21.306347 PL40 words 1 
01.20.21.695061 PL40 words 2 
01.20.22.102297 PL40 words 2 
01.20.22.540438 PL40 words 2 
01.20.22.929273 PL40 words 2 
01.20.23.428986 PL40 words 1 
01.20.23.849999 PL40 words 1 
01.20.24.476234 PL40 words 1 
01.20.24.946300 PL40 words 2 
01.20.25.429008 PL40 words 2 
01.20.25.787585 PL40 words 2 
01.20.29.416188 PL40 words 1 
01.20.29.601867 PL40 words 1 
01.20.29.743642 PL40 words 1 
01.20.29.884695 PL40 words 2 
01.20.30.072298 PL40 words 2 
01.20.30.227153 PL40 words 2 
01.20.30.352695 PL40 words 2 
01.20.30.493087 PL40 words 2 
01.20.30.772792 PL40 words 2 
01.20.30.898509 PL40 words 2 
01.20.31.038501 PL40 words 2 
01.20.31.198018 PL40 words 2 
01.20.31.336220 PL40 words 2 
01.20.31.478204 PL40 words 2 
01.20.31.634359 PL40 words 2 
01.20.31.773004 PL40 words 2 
01.20.31.929028 PL40 words 2 
01.20.32.085671 PL40 words 2 
01.20.32.242877 PL40 words 2 
01.20.32.368475 PL40 words 1 
01.20.32.587272 PL40 words 1 
01.20.32.929050 PL40 words 1 
01.20.33.131195 PL40 words 1 
01.20.33.336689 PL40 words 1 
01.20.33.556643 PL40 words 1 
01.20.33.760154 PL40 words 1 
01.20.33.978873 PL40 words 1 
01.20.34.178947 PL40 words 1 
01.20.34.491239 PL40 words 2 
01.20.34.726288 PL40 words 2 
01.20.34.946583 PL40 words 2 
01.20.35.148903 PL40 words 2 
01.20.35.337501 PL40 words 2 
01.20.35.525018 PL40 words 2 
01.20.35.679563 PL40 words 2 
01.20.35.852851 PL40 words 2 
01.20.36.135053 PL40 words 1 
01.20.36.384675 PL40 words 1 
01.20.36.648358 PL40 words 1 
01.20.36.898236 PL40 words 1 
01.20.37.164819 PL40 words 1 
01.20.37.430029 PL40 words 1 
01.20.37.726691 PL40 words 1 
01.20.37.992618 PL40 words 1 
01.20.38.227034 PL40 words 2 
01.20.38.493364 PL40 words 2 
01.20.38.709936 PL40 words 2 
01.20.38.928900 PL40 words 2 
01.20.39.167463 PL40 words 2 
01.20.39.383821 PL40 words 2 
01.20.39.601171 PL40 words 2 
01.20.39.803710 PL40 words 2 
01.20.40.024109 PL40 words 2 
01.20.40.227028 PL40 words 2 
01.20.40.460644 PL40 words 2 
01.20.40.693797 PL40 words 2 
01.20.40.916546 PL40 words 1 
01.20.41.148355 PL40 words 1 
01.20.41.353332 PL40 words 1 
01.20.41.572368 PL40 words 1 
01.20.41.835923 PL40 words 1 
01.20.42.040424 PL40 words 1 
01.20.42.258911 PL40 words 1 
01.20.42.493134 PL40 words 2 
01.20.43.007360 PL40 words 2 
01.20.43.053603 PL40 words 2 
01.20.43.085185 PL40 words 2 
01.20.43.117271 PL40 words 2 
01.20.43.163433 PL40 words 2 
01.20.43.195997 PL40 words 2 
01.20.43.242605 PL40 words 2 
01.20.43.273161 PL40 words 2 
01.20.43.305244 PL40 words 2 
01.20.43.353950 PL40 words 2 
01.20.43.385504 PL40 words 2 
01.20.43.416157 PL40 words 2 
01.20.43.460514 PL40 words 2 
01.20.43.493509 PL40 words 2 
01.20.43.538695 PL40 words 2 
01.20.43.572312 PL40 words 2 
01.20.43.711350 PL40 words 1 
01.20.43.961350 PL40 words 1 
01.20.44.179901 PL40 words 1 
01.20.44.399381 PL40 words 1 
01.20.44.647747 PL40 words 1 
01.20.44.867945 PL40 words 1 
01.20.45.085008 PL40 words 1 
01.20.45.305115 PL40 words 1 
01.20.45.522907 PL40 words 2 
01.20.45.727707 PL40 words 2 
01.20.45.916742 PL40 words 2 
01.20.46.117155 PL40 words 2 
01.20.46.336142 PL40 words 2 
01.20.46.538738 PL40 words 2 
01.20.46.947101 PL40 words 2 
01.20.47.289742 PL40 words 2 
01.20.47.585434 PL40 words 1 
01.20.47.897644 PL40 words 1 
01.20.48.135501 PL40 words 2 
01.20.48.415085 PL40 words 2 
01.20.48.649094 PL40 words 2 
01.20.48.915488 PL40 words 1 
01.20.49.210810 PL40 words 2 
01.20.49.602025 PL40 words 1 
01.20.49.774008 PL40 words 2 
01.20.49.961429 PL40 words 1 
01.20.50.195531 PL40 words 2 
01.20.50.506886 PL40 words 1 
01.20.50.806332 PL40 words 2 
01.20.51.102218 PL40 words 1 
01.20.51.382844 PL40 words 2 
01.20.51.726039 PL40 words 1 
01.20.51.959581 PL40 words 2 
01.20.52.274944 PL40 words 2 
01.20.52.539829 PL40 words 2 
01.20.52.823838 PL40 words 1 
01.20.53.163004 PL40 words 1 
01.20.53.461538 PL40 words 1 
01.20.53.695280 PL40 words 2 
01.20.53.976804 PL40 words 2 
01.20.54.227978 PL40 words 2 
01.20.54.477551 PL40 words 2 
01.20.54.710183 PL40 words 1 
01.20.55.054805 PL40 words 1 
01.20.55.335727 PL40 words 1 
01.20.55.585300 PL40 words 2 
01.20.55.787839 PL40 words 1 
01.20.55.947986 PL40 words 2 
