09.50.54.803625,PL154,login,
09.50.59.355807,PL154,words ,1,
09.50.59.871506,PL154,words ,1,
09.50.59.918353,PL154,words ,1,
09.50.59.949597,PL154,words ,1,
09.50.59.980871,PL154,words ,1,
09.51.00.027748,PL154,words ,1,
09.51.00.058762,PL154,words ,1,
09.51.00.090046,PL154,words ,1,
09.51.00.137165,PL154,words ,1,
09.51.00.168150,PL154,words ,1,
09.51.00.215053,PL154,words ,1,
09.51.00.246274,PL154,words ,1,
09.51.00.277528,PL154,words ,1,
09.51.00.324407,PL154,words ,1,
09.51.00.355707,PL154,words ,1,
09.51.00.386957,PL154,words ,1,
09.51.00.434048,PL154,words ,1,
09.51.00.465308,PL154,words ,1,
09.51.00.512156,PL154,words ,1,
09.51.00.543438,PL154,words ,1,
09.51.00.574597,PL154,words ,1,
09.51.00.621566,PL154,words ,1,
09.51.00.652825,PL154,words ,1,
09.51.00.699706,PL154,words ,1,
09.51.00.730702,PL154,words ,1,
09.51.00.762182,PL154,words ,1,
09.51.00.809080,PL154,words ,1,
09.51.00.840223,PL154,words ,1,
09.51.00.871600,PL154,words ,1,
09.51.00.918449,PL154,words ,1,
09.51.00.949709,PL154,words ,1,
09.51.00.996630,PL154,words ,1,
09.51.01.027867,PL154,words ,1,
09.51.01.059128,PL154,words ,1,
09.51.01.105985,PL154,words ,1,
09.51.01.137732,PL154,words ,1,
09.51.01.182067,PL154,words ,1,
09.51.01.213321,PL154,words ,1,
09.51.01.244597,PL154,words ,1,
09.51.01.291376,PL154,words ,1,
09.51.01.322683,PL154,words ,1,
09.51.01.353702,PL154,words ,1,
09.51.01.400826,PL154,words ,1,
09.51.01.431835,PL154,words ,1,
09.51.01.478714,PL154,words ,1,
09.51.01.509967,PL154,words ,1,
09.51.01.541223,PL154,words ,1,
09.51.01.588137,PL154,words ,1,
09.51.01.775903,PL154,words ,2,
09.51.02.307199,PL154,words ,2,
09.51.02.338460,PL154,words ,2,
09.51.02.369450,PL154,words ,2,
09.51.02.424740,PL154,words ,2,
09.51.02.455957,PL154,words ,2,
09.51.02.487225,PL154,words ,2,
09.51.02.518234,PL154,words ,2,
09.51.02.565359,PL154,words,2,
09.51.02.596625,PL154,words,2,
