02.08.30.845649,PL19,login,
02.08.48.291162,PL19,words ,1,
02.08.48.523900,PL19,words ,1,
02.08.48.792236,PL19,words ,1,
02.08.49.040584,PL19,words ,1,
02.08.49.258200,PL19,words ,1,
02.08.49.539830,PL19,words ,1,
02.08.49.746965,PL19,words ,1,
02.08.50.023803,PL19,words ,1,
02.08.50.258142,PL19,words ,1,
02.08.50.497323,PL19,words ,1,
02.08.50.758117,PL19,words ,1,
02.08.51.040820,PL19,words ,1,
02.08.51.273183,PL19,words ,1,
02.08.51.525961,PL19,words ,1,
02.08.51.790127,PL19,words ,1,
02.08.52.023144,PL19,words ,1,
02.08.52.371937,PL19,words ,2,
02.08.52.587284,PL19,words ,2,
02.08.52.819896,PL19,words ,2,
02.08.53.039694,PL19,words ,2,
02.08.53.291167,PL19,words ,2,
02.08.53.477636,PL19,words ,2,
02.08.53.635619,PL19,words ,2,
02.08.53.836986,PL19,words ,2,
02.08.54.060563,PL19,words ,2,
02.08.54.273106,PL19,words ,2,
02.08.54.509597,PL19,words ,2,
02.08.54.712238,PL19,words ,2,
02.08.54.999323,PL19,words ,2,
02.08.55.227678,PL19,words ,2,
02.08.55.498255,PL19,words ,2,
02.08.55.747334,PL19,words ,2,
02.08.55.992885,PL19,words ,2,
02.08.56.247115,PL19,words ,2,
02.08.56.461064,PL19,words ,2,
02.08.56.714058,PL19,words ,2,
02.08.56.945360,PL19,words ,2,
02.08.57.187326,PL19,words ,2,
02.08.57.437118,PL19,words ,2,
02.08.57.680311,PL19,words ,2,
02.08.57.884016,PL19,words ,2,
02.08.58.102998,PL19,words ,2,
02.08.58.351685,PL19,words ,2,
02.08.58.587901,PL19,words ,2,
02.08.58.790089,PL19,words ,2,
02.08.59.024560,PL19,words ,2,
02.08.59.247889,PL19,words ,2,
02.08.59.478491,PL19,words ,2,
02.08.59.666023,PL19,words ,2,
02.08.59.872636,PL19,words ,2,
02.09.00.150150,PL19,words ,1,
02.09.00.352943,PL19,words ,1,
02.09.00.563108,PL19,words ,1,
02.09.00.760331,PL19,words ,1,
02.09.00.979836,PL19,words ,1,
02.09.01.212937,PL19,words ,1,
02.09.01.461617,PL19,words,1,
02.09.01.696599,PL19,words,1,
02.09.01.915635,PL19,words,1,
02.09.02.133812,PL19,words,1,
02.09.02.367882,PL19,words,1,
02.09.02.587701,PL19,words,1,
02.09.02.820231,PL19,words,1,
02.09.03.038599,PL19,words,1,
02.09.03.275251,PL19,words,1,
02.09.03.524188,PL19,words,1,
02.09.03.748424,PL19,words,1,
02.09.03.997957,PL19,words,2,
02.09.04.227353,PL19,words,2,
02.09.04.431090,PL19,words,2,
02.09.04.618175,PL19,words,2,
02.09.04.822439,PL19,words,2,
02.09.05.027194,PL19,words,2,
02.09.05.291381,PL19,words,2,
02.09.05.496982,PL19,words,2,
02.09.05.729843,PL19,words,2,
02.09.05.933929,PL19,words,2,
02.09.06.133792,PL19,words,2,
02.09.06.322058,PL19,words,2,
02.09.06.559915,PL19,words,2,
02.09.06.759135,PL19,words,2,
02.09.06.992401,PL19,words,2,
02.09.07.184540,PL19,words,2,
02.09.07.415481,PL19,words,2,
02.09.07.649908,PL19,words,2,
02.09.07.945605,PL19,words,2,
02.09.08.164742,PL19,words,2,
02.09.08.400467,PL19,words,2,
02.09.08.619756,PL19,words,2,
02.09.08.839052,PL19,words,2,
02.09.09.117900,PL19,words,2,
02.09.09.338382,PL19,words,2,
02.09.09.540849,PL19,words,1,
02.09.09.821861,PL19,words,1,
02.09.10.056561,PL19,words,1,
02.09.10.275202,PL19,words,1,
02.09.10.508982,PL19,words,1,
02.09.10.726773,PL19,words,1,
02.09.10.964009,PL19,words,1,
02.09.11.210364,PL19,words,1,
02.09.11.446399,PL19,words,1,
02.09.11.666320,PL19,words,1,
02.09.11.873206,PL19,words,1,
02.09.12.088011,PL19,words,1,
02.09.12.305481,PL19,words,1,
02.09.12.540240,PL19,words,1,
02.09.12.791018,PL19,words,1,
02.09.12.998067,PL19,words,1,
02.09.13.244281,PL19,words,1,
02.09.13.478594,PL19,words,1,
02.09.13.790948,PL19,words,2,
02.09.14.024187,PL19,words,2,
02.09.14.212881,PL19,words,2,
02.09.14.433680,PL19,words,2,
02.09.14.683165,PL19,words,2,
02.09.14.932050,PL19,words,2,
02.09.15.197974,PL19,words,2,
02.09.15.462327,PL19,words,2,
02.09.15.698271,PL19,words,2,
02.09.15.935576,PL19,words,2,
02.09.16.166067,PL19,words,2,
02.09.16.431341,PL19,words,2,
02.09.16.712992,PL19,words,2,
02.09.16.962833,PL19,words,2,
02.09.17.214560,PL19,words,2,
02.09.17.492844,PL19,words,2,
02.09.17.744025,PL19,words,2,
02.09.18.001249,PL19,words,2,
02.09.18.259913,PL19,words,2,
02.09.18.525778,PL19,words,2,
02.09.18.757937,PL19,words,2,
02.09.18.978908,PL19,words,2,
02.09.19.164803,PL19,words,2,
02.09.19.383984,PL19,words,2,
02.09.19.587160,PL19,words,2,
02.09.19.760154,PL19,words,2,
02.09.20.012075,PL19,words,2,
02.09.20.197199,PL19,words,1,
02.09.20.446380,PL19,words,1,
02.09.20.665133,PL19,words,1,
02.09.20.930312,PL19,words,1,
02.09.21.165199,PL19,words,1,
02.09.21.697545,PL19,words,1,
02.09.21.729325,PL19,words,1,
02.09.21.776183,PL19,words,1,
02.09.21.812617,PL19,words,1,
02.09.21.839244,PL19,words,1,
02.09.21.884041,PL19,words,1,
02.09.21.915718,PL19,words,1,
02.09.21.962352,PL19,words,1,
02.09.21.997659,PL19,words,1,
02.09.22.025734,PL19,words,1,
02.09.22.073623,PL19,words,1,
02.09.22.102162,PL19,words,1,
02.09.22.148973,PL19,words,1,
02.09.22.183594,PL19,words,1,
02.09.22.214294,PL19,words,1,
02.09.22.259803,PL19,words,1,
02.09.22.292456,PL19,words,1,
02.09.22.337847,PL19,words,1,
02.09.22.373475,PL19,words,1,
02.09.22.401606,PL19,words,1,
02.09.22.448149,PL19,words,1,
02.09.22.479851,PL19,words,1,
02.09.22.508303,PL19,words,1,
02.09.22.561711,PL19,words,1,
02.09.22.588974,PL19,words,1,
02.09.22.635305,PL19,words,1,
02.09.22.934347,PL19,words,2,
02.09.23.446470,PL19,words,2,
02.09.23.498538,PL19,words,2,
02.09.23.526643,PL19,words,2,
02.09.23.571849,PL19,words,2,
02.09.23.602764,PL19,words,2,
02.09.23.634444,PL19,words,2,
02.09.23.684439,PL19,words,2,
02.09.23.712751,PL19,words,2,
02.09.23.746028,PL19,words,2,
02.09.23.789841,PL19,words,2,
02.09.23.822296,PL19,words,2,
02.09.23.873143,PL19,words,2,
02.09.23.901404,PL19,words,2,
02.09.23.930481,PL19,words,2,
02.09.23.978268,PL19,words,2,
02.09.24.009563,PL19,words,2,
02.09.24.061879,PL19,words,2,
02.09.24.088112,PL19,words,2,
02.09.24.120368,PL19,words,2,
02.09.24.165970,PL19,words,2,
02.09.24.195741,PL19,words,2,
02.09.24.247901,PL19,words,2,
02.09.24.273970,PL19,words,2,
02.09.24.305509,PL19,words,2,
02.09.24.352013,PL19,words,2,
02.09.24.384734,PL19,words,2,
02.09.24.415010,PL19,words,2,
02.09.24.462579,PL19,words,2,
02.09.24.494974,PL19,words,2,
02.09.24.527609,PL19,words,2,
02.09.24.572605,PL19,words,2,
02.09.24.602392,PL19,words,2,
02.09.24.636193,PL19,words,2,
02.09.24.681527,PL19,words,2,
02.09.24.712983,PL19,words,2,
02.09.24.759618,PL19,words,2,
02.09.24.790694,PL19,words,2,
02.09.24.823207,PL19,words,2,
02.09.24.869601,PL19,words,2,
02.09.24.899876,PL19,words,2,
02.09.24.948231,PL19,words,2,
02.09.24.980032,PL19,words,2,
02.09.25.010767,PL19,words,2,
02.09.25.056564,PL19,words,2,
02.09.25.085670,PL19,words,2,
02.09.25.124196,PL19,words,2,
02.09.25.166913,PL19,words,2,
02.09.25.197550,PL19,words,2,
02.09.25.242946,PL19,words,2,
02.09.25.275817,PL19,words,2,
02.09.25.313085,PL19,words,2,
02.09.25.354394,PL19,words,2,
02.09.25.383471,PL19,words,2,
02.09.25.430956,PL19,words,2,
02.09.25.463802,PL19,words,2,
02.09.25.494528,PL19,words,2,
02.09.25.541934,PL19,words,2,
02.09.25.572218,PL19,words,2,
02.09.25.619195,PL19,words,2,
02.09.25.648839,PL19,words,2,
02.09.25.687505,PL19,words,2,
02.09.25.728819,PL19,words,2,
02.09.25.761386,PL19,words,2,
02.09.25.790641,PL19,words,2,
02.09.25.838824,PL19,words,2,
