12.24.18.033657,PL204,login,
01.09.53.838528,PL204,login,
01.10.05.869547,PL204,words ,1,
01.10.06.398014,PL204,words ,1,
01.10.06.434325,PL204,words ,1,
01.10.06.474896,PL204,words ,1,
01.10.06.506654,PL204,words ,1,
01.10.06.558554,PL204,words ,1,
01.10.06.584141,PL204,words ,1,
01.10.06.619607,PL204,words ,1,
01.10.06.651336,PL204,words ,1,
01.10.06.693655,PL204,words ,1,
01.10.06.727198,PL204,words ,1,
01.10.06.771771,PL204,words ,1,
01.10.06.808171,PL204,words ,1,
01.10.06.841779,PL204,words ,1,
01.10.06.882300,PL204,words ,1,
01.10.06.913097,PL204,words ,1,
01.10.06.961163,PL204,words ,1,
01.10.06.999705,PL204,words ,1,
01.10.07.028637,PL204,words ,1,
01.10.07.068473,PL204,words ,1,
01.10.07.099758,PL204,words ,1,
01.10.07.148380,PL204,words ,1,
01.10.07.183354,PL204,words ,1,
01.10.07.215932,PL204,words ,1,
01.10.07.257208,PL204,words ,1,
01.10.07.286983,PL204,words ,1,
01.10.07.320000,PL204,words ,1,
01.10.07.367263,PL204,words ,1,
01.10.07.403358,PL204,words ,1,
01.10.07.445464,PL204,words ,1,
01.10.07.476883,PL204,words ,1,
01.10.07.507361,PL204,words ,1,
01.10.07.553746,PL204,words ,1,
01.10.07.588283,PL204,words ,1,
01.10.07.632750,PL204,words ,1,
01.10.07.665290,PL204,words ,1,
01.10.07.694369,PL204,words ,1,
01.10.07.745187,PL204,words ,1,
01.10.07.777466,PL204,words ,1,
01.10.07.820974,PL204,words ,1,
01.10.07.841883,PL204,words ,1,
01.10.07.880759,PL204,words ,1,
01.10.07.932518,PL204,words ,1,
01.10.07.963602,PL204,words ,1,
01.10.07.991669,PL204,words ,1,
01.10.08.035785,PL204,words ,1,
01.10.08.070878,PL204,words ,1,
01.10.08.116000,PL204,words ,1,
01.10.08.150089,PL204,words ,1,
01.10.08.177161,PL204,words ,1,
01.10.08.215263,PL204,words ,1,
01.10.08.255413,PL204,words ,1,
01.10.08.287989,PL204,words ,1,
01.10.08.340522,PL204,words ,1,
01.10.08.365589,PL204,words ,1,
01.10.08.402057,PL204,words ,1,
01.10.08.445657,PL204,words,1,
01.10.08.475721,PL204,words,1,
01.10.08.530129,PL204,words,1,
01.10.08.553383,PL204,words,1,
01.10.08.586734,PL204,words,1,
01.10.08.620752,PL204,words,1,
01.10.08.663376,PL204,words,1,
01.10.08.713937,PL204,words,1,
01.10.08.741211,PL204,words,1,
01.10.08.776545,PL204,words,1,
01.10.08.819311,PL204,words,1,
01.10.08.849863,PL204,words,1,
01.10.08.898330,PL204,words,1,
01.10.08.928577,PL204,words,1,
01.10.08.964522,PL204,words,1,
01.10.08.996316,PL204,words,1,
01.10.09.037293,PL204,words,1,
01.10.09.068845,PL204,words,1,
01.10.09.117756,PL204,words,1,
01.10.09.151782,PL204,words,1,
01.10.09.184454,PL204,words,1,
01.10.09.227083,PL204,words,1,
01.10.09.256530,PL204,words,1,
01.10.09.303616,PL204,words,1,
01.10.09.340486,PL204,words,1,
01.10.09.367892,PL204,words,1,
01.10.09.413487,PL204,words,1,
01.10.09.446805,PL204,words,1,
01.10.09.478290,PL204,words,1,
01.10.09.526902,PL204,words,1,
01.10.09.745472,PL204,words,2,
01.10.10.272242,PL204,words,2,
01.10.10.307608,PL204,words,2,
01.10.10.334862,PL204,words,2,
01.10.10.371637,PL204,words,2,
01.10.10.413572,PL204,words,2,
01.10.10.464147,PL204,words,2,
01.10.10.490692,PL204,words,2,
01.10.10.522394,PL204,words,2,
01.10.10.558526,PL204,words,2,
01.10.10.602243,PL204,words,2,
01.10.10.652522,PL204,words,2,
01.10.10.684814,PL204,words,2,
01.10.10.710094,PL204,words,2,
01.10.10.747455,PL204,words,2,
01.10.10.787991,PL204,words,2,
01.10.10.819511,PL204,words,2,
01.10.10.865007,PL204,words,2,
01.10.10.899056,PL204,words,2,
01.10.10.932696,PL204,words,2,
01.10.10.974548,PL204,words,2,
01.10.11.008839,PL204,words,2,
01.10.11.058467,PL204,words,2,
01.10.11.085280,PL204,words,2,
01.10.11.120223,PL204,words,2,
01.10.11.164169,PL204,words,2,
01.10.11.195631,PL204,words,2,
01.10.11.245630,PL204,words,2,
01.10.11.272701,PL204,words,2,
01.10.11.305842,PL204,words,2,
01.10.11.341953,PL204,words,2,
01.10.11.381530,PL204,words,2,
01.10.11.433685,PL204,words,2,
01.10.11.458845,PL204,words,2,
01.10.11.497775,PL204,words,2,
01.10.11.528043,PL204,words,2,
01.10.11.571242,PL204,words,2,
01.10.11.601019,PL204,words,2,
01.10.11.647524,PL204,words,2,
01.10.11.684428,PL204,words,2,
01.10.11.713761,PL204,words,2,
01.10.11.757310,PL204,words,2,
01.10.11.787209,PL204,words,2,
01.10.11.836889,PL204,words,2,
01.10.11.870979,PL204,words,2,
01.10.11.902066,PL204,words,2,
01.10.11.944202,PL204,words,2,
01.10.11.977282,PL204,words,2,
01.10.12.024387,PL204,words,2,
01.10.12.059514,PL204,words,2,
01.10.12.089560,PL204,words,2,
01.10.12.130931,PL204,words,2,
01.10.12.164441,PL204,words,2,
01.10.12.209462,PL204,words,2,
01.10.12.246955,PL204,words,2,
01.10.12.278369,PL204,words,2,
01.10.12.320106,PL204,words,2,
01.10.12.350863,PL204,words,2,
01.10.12.381498,PL204,words,2,
01.10.12.435072,PL204,words,2,
01.10.12.466992,PL204,words,2,
01.10.12.506172,PL204,words,2,
01.10.12.538689,PL204,words,2,
01.10.12.569264,PL204,words,2,
01.10.12.620264,PL204,words,2,
01.10.12.651735,PL204,words,2,
01.10.12.680262,PL204,words,2,
01.10.12.715421,PL204,words,2,
01.10.12.757353,PL204,words,2,
01.10.12.807223,PL204,words,2,
01.10.12.839372,PL204,words,2,
01.10.12.869956,PL204,words,2,
01.10.12.901053,PL204,words,2,
01.10.12.945360,PL204,words,2,
01.10.12.976476,PL204,words,2,
01.10.13.028418,PL204,words,2,
01.10.13.053874,PL204,words,2,
01.10.13.091825,PL204,words,2,
01.10.13.132123,PL204,words,2,
01.10.13.163518,PL204,words,2,
01.10.13.217532,PL204,words,2,
01.10.13.240586,PL204,words,2,
01.10.13.279689,PL204,words,2,
