10.23.04.460125 PL92 login 
10.23.12.783295 PL92 words 1 
10.23.13.298974 PL92 words 1 
10.23.13.345834 PL92 words 1 
10.23.13.377081 PL92 words 1 
10.23.13.408341 PL92 words 1 
10.23.13.455240 PL92 words 1 
10.23.13.486494 PL92 words 1 
10.23.13.533358 PL92 words 1 
10.23.13.564608 PL92 words 1 
10.23.13.595862 PL92 words 1 
10.23.13.642757 PL92 words 1 
10.23.13.673787 PL92 words 1 
10.23.13.705292 PL92 words 1 
10.23.13.752157 PL92 words 1 
10.23.13.783402 PL92 words 1 
10.23.13.814416 PL92 words 1 
10.23.13.861535 PL92 words 1 
10.23.13.892787 PL92 words 1 
10.23.13.939657 PL92 words 1 
10.23.13.970705 PL92 words 1 
10.23.14.002161 PL92 words 1 
10.23.14.049059 PL92 words 1 
10.23.14.080053 PL92 words 1 
10.23.14.127178 PL92 words 1 
10.23.14.158450 PL92 words 1 
10.23.14.189591 PL92 words 1 
10.23.14.237455 PL92 words 1 
10.23.14.268687 PL92 words 1 
10.23.14.299942 PL92 words 1 
10.23.14.346842 PL92 words 1 
10.23.14.377835 PL92 words 1 
10.23.14.409103 PL92 words 1 
10.23.14.456120 PL92 words 1 
10.23.14.487462 PL92 words 1 
10.23.14.534130 PL92 words 1 
10.23.14.565560 PL92 words 1 
10.23.14.596832 PL92 words 1 
10.23.14.643733 PL92 words 1 
10.23.14.674986 PL92 words 1 
10.23.14.721845 PL92 words 1 
10.23.14.753104 PL92 words 1 
10.23.14.784370 PL92 words 1 
10.23.14.831229 PL92 words 1 
10.23.14.862484 PL92 words 1 
10.23.14.893765 PL92 words 1 
10.23.14.940657 PL92 words 1 
10.23.14.971796 PL92 words 1 
10.23.15.018761 PL92 words 1 
10.23.15.050015 PL92 words 1 
10.23.15.081264 PL92 words 1 
10.23.15.128162 PL92 words 1 
10.23.15.159403 PL92 words 1 
10.23.15.190421 PL92 words 1 
10.23.15.237543 PL92 words 1 
10.23.15.268800 PL92 words 1 
10.23.15.315669 PL92 words 1 
10.23.15.346909 PL92 words 1 
10.23.15.378192 PL92 words 1 
10.23.15.425083 PL92 words 1 
10.23.15.456247 PL92 words 1 
10.23.15.487322 PL92 words 1 
10.23.15.534428 PL92 words 1 
10.23.15.565723 PL92 words 1 
10.23.15.613420 PL92 words 1 
10.23.15.648857 PL92 words 1 
10.23.15.680142 PL92 words 1 
10.23.15.711384 PL92 words 1 
10.23.15.758272 PL92 words 1 
10.23.15.789285 PL92 words 1 
10.23.15.836416 PL92 words 1 
10.23.15.867632 PL92 words 1 
10.23.15.898897 PL92 words 1 
10.23.15.945794 PL92 words 1 
10.23.15.977057 PL92 words 1 
