06.13.47.354822,PL219,login,
06.14.00.656998,PL219,words ,1,
06.14.01.178287,PL219,words ,1,
06.14.01.220153,PL219,words ,1,
06.14.01.270288,PL219,words ,1,
06.14.01.299409,PL219,words ,1,
06.14.01.329875,PL219,words ,1,
06.14.01.365159,PL219,words ,1,
06.14.01.409273,PL219,words ,1,
06.14.01.439342,PL219,words ,1,
06.14.01.490593,PL219,words ,1,
06.14.01.516662,PL219,words ,1,
06.14.01.563841,PL219,words ,1,
06.14.01.593740,PL219,words ,1,
06.14.01.626828,PL219,words ,1,
06.14.01.678731,PL219,words ,1,
06.14.01.703141,PL219,words ,1,
06.14.01.740814,PL219,words ,1,
06.14.01.782954,PL219,words ,1,
06.14.01.814089,PL219,words ,1,
06.14.01.866511,PL219,words ,1,
06.14.01.890788,PL219,words ,1,
06.14.01.929496,PL219,words ,1,
06.14.01.960775,PL219,words ,1,
06.14.02.000204,PL219,words ,1,
06.14.02.034231,PL219,words ,1,
06.14.02.079638,PL219,words ,1,
06.14.02.116752,PL219,words ,1,
06.14.02.147419,PL219,words ,1,
06.14.02.188776,PL219,words ,1,
06.14.02.220448,PL219,words ,1,
06.14.02.267748,PL219,words ,1,
06.14.02.297193,PL219,words ,1,
06.14.02.334209,PL219,words ,1,
06.14.02.377729,PL219,words ,1,
06.14.02.409166,PL219,words ,1,
06.14.02.454763,PL219,words ,1,
06.14.02.492643,PL219,words ,1,
06.14.02.522082,PL219,words ,1,
06.14.02.564119,PL219,words ,1,
06.14.02.596205,PL219,words ,1,
06.14.02.640540,PL219,words ,1,
06.14.02.843959,PL219,words ,2,
06.14.03.364628,PL219,words ,2,
06.14.03.407734,PL219,words ,2,
06.14.03.439272,PL219,words ,2,
06.14.03.485240,PL219,words ,2,
06.14.03.520560,PL219,words ,2,
06.14.03.564126,PL219,words ,2,
06.14.03.596381,PL219,words ,2,
06.14.03.627047,PL219,words ,2,
06.14.03.672944,PL219,words ,2,
06.14.03.711447,PL219,words ,2,
06.14.03.734511,PL219,words ,2,
06.14.03.782635,PL219,words ,2,
06.14.03.812715,PL219,words ,2,
06.14.03.858837,PL219,words ,2,
06.14.03.898954,PL219,words,2,
06.14.03.921004,PL219,words,2,
06.14.03.968129,PL219,words,2,
06.14.04.000422,PL219,words,2,
06.14.04.034709,PL219,words,2,
06.14.04.084133,PL219,words,2,
06.14.04.113215,PL219,words,2,
06.14.04.157836,PL219,words,2,
06.14.04.189830,PL219,words,2,
06.14.04.220662,PL219,words,2,
06.14.04.271989,PL219,words,2,
06.14.04.303225,PL219,words,2,
06.14.04.345423,PL219,words,2,
06.14.04.376229,PL219,words,2,
06.14.04.409776,PL219,words,2,
06.14.04.460000,PL219,words,2,
06.14.04.489513,PL219,words,2,
06.14.04.518680,PL219,words,2,
06.14.04.554187,PL219,words,2,
06.14.04.594896,PL219,words,2,
06.14.04.649750,PL219,words,2,
06.14.04.678332,PL219,words,2,
