02.22.09.294587,PL97,login,
02.22.27.909139,PL97,words ,1,
02.22.28.440707,PL97,words ,1,
02.22.28.471955,PL97,words ,1,
02.22.28.518583,PL97,words ,1,
02.22.28.550094,PL97,words ,1,
02.22.28.596702,PL97,words ,1,
02.22.28.628204,PL97,words ,1,
02.22.28.659473,PL97,words ,1,
02.22.28.706337,PL97,words ,1,
02.22.28.737590,PL97,words ,1,
02.22.28.768596,PL97,words ,1,
02.22.28.815734,PL97,words ,1,
02.22.28.846981,PL97,words ,1,
02.22.28.893863,PL97,words ,1,
02.22.28.925119,PL97,words ,1,
02.22.28.956367,PL97,words ,1,
02.22.29.003250,PL97,words ,1,
02.22.29.034426,PL97,words ,1,
02.22.29.065769,PL97,words ,1,
02.22.29.112642,PL97,words ,1,
02.22.29.143884,PL97,words ,1,
02.22.29.190775,PL97,words ,1,
02.22.29.222035,PL97,words ,1,
02.22.29.253290,PL97,words ,1,
02.22.29.300100,PL97,words ,1,
02.22.29.331425,PL97,words ,1,
02.22.29.362414,PL97,words ,1,
02.22.29.409531,PL97,words ,1,
02.22.29.440793,PL97,words ,1,
02.22.29.487700,PL97,words ,1,
02.22.29.518954,PL97,words ,1,
02.22.29.550013,PL97,words ,1,
02.22.29.597100,PL97,words ,1,
02.22.29.628307,PL97,words ,1,
02.22.29.659317,PL97,words ,1,
02.22.29.706459,PL97,words ,1,
02.22.29.737699,PL97,words ,1,
02.22.29.784493,PL97,words ,1,
02.22.29.815848,PL97,words ,1,
02.22.29.847120,PL97,words ,1,
02.22.29.893994,PL97,words ,1,
02.22.29.925236,PL97,words ,1,
02.22.29.972131,PL97,words ,1,
02.22.30.003348,PL97,words ,1,
02.22.30.034542,PL97,words ,1,
02.22.30.081514,PL97,words ,1,
02.22.30.112755,PL97,words ,1,
02.22.30.144016,PL97,words ,1,
02.22.30.190878,PL97,words ,1,
02.22.30.222132,PL97,words ,1,
02.22.30.269007,PL97,words ,1,
02.22.30.300021,PL97,words ,1,
02.22.30.331545,PL97,words ,1,
02.22.30.378407,PL97,words ,1,
02.22.30.409658,PL97,words ,1,
02.22.30.440651,PL97,words ,1,
02.22.30.487810,PL97,words,1,
02.22.30.519042,PL97,words,1,
02.22.30.565942,PL97,words,1,
02.22.30.597161,PL97,words,1,
02.22.30.628172,PL97,words,1,
02.22.30.675051,PL97,words,1,
02.22.30.706305,PL97,words,1,
02.22.30.737559,PL97,words,1,
02.22.30.784438,PL97,words,1,
02.22.30.815692,PL97,words,1,
02.22.30.862606,PL97,words,1,
02.22.30.893863,PL97,words,1,
02.22.30.925079,PL97,words,1,
02.22.30.972005,PL97,words,1,
02.22.31.003467,PL97,words,1,
02.22.31.050093,PL97,words,1,
02.22.31.081619,PL97,words,1,
02.22.31.112868,PL97,words,1,
02.22.31.159760,PL97,words,1,
02.22.31.190992,PL97,words,1,
02.22.31.222233,PL97,words,1,
02.22.31.269133,PL97,words,1,
02.22.31.300121,PL97,words,1,
02.22.31.347282,PL97,words,1,
02.22.31.378531,PL97,words,1,
02.22.31.409736,PL97,words,1,
02.22.31.456617,PL97,words,1,
02.22.31.487900,PL97,words,1,
02.22.31.518918,PL97,words,1,
02.22.31.565774,PL97,words,1,
02.22.31.597027,PL97,words,1,
02.22.31.648053,PL97,words,1,
02.22.31.666868,PL97,words,1,
02.22.31.713758,PL97,words,1,
02.22.31.744999,PL97,words,1,
02.22.31.791854,PL97,words,1,
02.22.31.823108,PL97,words,1,
02.22.31.854361,PL97,words,1,
02.22.31.901241,PL97,words,1,
02.22.31.932527,PL97,words,1,
02.22.31.979373,PL97,words,1,
02.22.32.010626,PL97,words,1,
02.22.32.041883,PL97,words,1,
02.22.32.089025,PL97,words,1,
02.22.32.120290,PL97,words,1,
02.22.32.151282,PL97,words,1,
02.22.32.198424,PL97,words,1,
02.22.32.229436,PL97,words,1,
02.22.32.276549,PL97,words,1,
02.22.32.307790,PL97,words,1,
02.22.32.339032,PL97,words,1,
02.22.32.391550,PL97,words,1,
02.22.32.422792,PL97,words,1,
02.22.32.453999,PL97,words,1,
02.22.32.485121,PL97,words,1,
02.22.32.532172,PL97,words,1,
02.22.32.563398,PL97,words,1,
02.22.32.610302,PL97,words,1,
02.22.32.641561,PL97,words,1,
02.22.32.672802,PL97,words,1,
02.22.32.719702,PL97,words,1,
02.22.32.750865,PL97,words,1,
02.22.32.797834,PL97,words,1,
02.22.32.829095,PL97,words,1,
02.22.32.860313,PL97,words,1,
02.22.32.907222,PL97,words,1,
02.22.32.938209,PL97,words,1,
02.22.32.969475,PL97,words,1,
02.22.33.016344,PL97,words,1,
02.22.33.047873,PL97,words,1,
02.22.33.094703,PL97,words,1,
02.22.33.125972,PL97,words,1,
02.22.33.157253,PL97,words,1,
02.22.33.204122,PL97,words,1,
02.22.33.235371,PL97,words,1,
02.22.33.266370,PL97,words,1,
02.22.33.313499,PL97,words,1,
02.22.33.344778,PL97,words,1,
02.22.33.391656,PL97,words,1,
02.22.33.422901,PL97,words,1,
02.22.33.454155,PL97,words,1,
02.22.33.500948,PL97,words,1,
02.22.33.532290,PL97,words,1,
02.22.33.579176,PL97,words,1,
02.22.33.610429,PL97,words,1,
02.22.33.641685,PL97,words,1,
02.22.33.688782,PL97,words,1,
02.22.33.720073,PL97,words,1,
02.22.33.751231,PL97,words,1,
02.22.33.798203,PL97,words,1,
02.22.33.829449,PL97,words,1,
02.22.33.860685,PL97,words,1,
02.22.33.907558,PL97,words,1,
02.22.33.938821,PL97,words,1,
02.22.33.985720,PL97,words,1,
02.22.34.016706,PL97,words,1,
02.22.34.047961,PL97,words,1,
02.22.34.095107,PL97,words,1,
02.22.34.126365,PL97,words,1,
02.22.34.173235,PL97,words,1,
02.22.34.204472,PL97,words,1,
02.22.34.235746,PL97,words,1,
02.22.34.282608,PL97,words,1,
02.22.34.313877,PL97,words,1,
02.22.34.344865,PL97,words,1,
02.22.34.392025,PL97,words,1,
02.22.34.423274,PL97,words,1,
02.22.34.470153,PL97,words,1,
02.22.34.501212,PL97,words,1,
02.22.34.532689,PL97,words,1,
02.22.34.579518,PL97,words,1,
02.22.34.610766,PL97,words,1,
02.22.34.657627,PL97,words,1,
02.22.34.688871,PL97,words,1,
02.22.34.720154,PL97,words,1,
02.22.34.767063,PL97,words,1,
02.22.34.798281,PL97,words,1,
02.22.34.829570,PL97,words,1,
02.22.34.876207,PL97,words,1,
02.22.34.907664,PL97,words,1,
02.22.34.938914,PL97,words,1,
02.22.34.985808,PL97,words,1,
02.22.35.016996,PL97,words,1,
02.22.35.063954,PL97,words,1,
02.22.35.095199,PL97,words,1,
02.22.35.126207,PL97,words,1,
02.22.35.173324,PL97,words,1,
02.22.35.204577,PL97,words,1,
02.22.35.251227,PL97,words,1,
02.22.35.282644,PL97,words,1,
02.22.35.314005,PL97,words,1,
02.22.35.360872,PL97,words,1,
02.22.35.392118,PL97,words,1,
02.22.35.423115,PL97,words,1,
02.22.35.470262,PL97,words,1,
02.22.35.501248,PL97,words,1,
02.22.35.548388,PL97,words,1,
02.22.35.579651,PL97,words,1,
02.22.35.610893,PL97,words,1,
02.22.35.657776,PL97,words,1,
02.22.35.689014,PL97,words,1,
02.22.35.735906,PL97,words,1,
02.22.35.767073,PL97,words,1,
02.22.35.798414,PL97,words,1,
02.22.35.845297,PL97,words,1,
02.22.35.876545,PL97,words,1,
02.22.35.907770,PL97,words,1,
02.22.35.954419,PL97,words,1,
02.22.35.985669,PL97,words,1,
02.22.36.032549,PL97,words,1,
02.22.36.063801,PL97,words,1,
02.22.36.095054,PL97,words,1,
02.22.36.141934,PL97,words,1,
02.22.36.173187,PL97,words,1,
02.22.36.204467,PL97,words,1,
02.22.36.251363,PL97,words,1,
02.22.36.282574,PL97,words,1,
02.22.36.329711,PL97,words,1,
02.22.36.360981,PL97,words,1,
02.22.36.392245,PL97,words,1,
02.22.36.439100,PL97,words,1,
02.22.36.470351,PL97,words,1,
02.22.36.501350,PL97,words,1,
02.22.36.548492,PL97,words,1,
02.22.36.579748,PL97,words,1,
02.22.36.626612,PL97,words,1,
02.22.36.657889,PL97,words,1,
02.22.36.689141,PL97,words,1,
02.22.36.736013,PL97,words,1,
02.22.36.767183,PL97,words,1,
02.22.36.814143,PL97,words,1,
02.22.36.845389,PL97,words,1,
02.22.36.876655,PL97,words,1,
02.22.36.923510,PL97,words,1,
02.22.36.960976,PL97,words,1,
02.22.36.994221,PL97,words,1,
02.22.37.025448,PL97,words,1,
02.22.37.072340,PL97,words,1,
02.22.37.103578,PL97,words,1,
02.22.37.134838,PL97,words,1,
02.22.37.181729,PL97,words,1,
02.22.37.212988,PL97,words,1,
02.22.37.259872,PL97,words,1,
02.22.37.291116,PL97,words,1,
02.22.37.322347,PL97,words,1,
02.22.37.369243,PL97,words,1,
02.22.37.400420,PL97,words,1,
02.22.37.431490,PL97,words,1,
02.22.37.478646,PL97,words,1,
02.22.37.509899,PL97,words,1,
02.22.37.556747,PL97,words,1,
02.22.37.588021,PL97,words,1,
02.22.37.619278,PL97,words,1,
02.22.37.665891,PL97,words,1,
02.22.37.697417,PL97,words,1,
02.22.37.744271,PL97,words,1,
02.22.37.775507,PL97,words,1,
02.22.37.806780,PL97,words,1,
02.22.37.853687,PL97,words,1,
02.22.37.884940,PL97,words,1,
02.22.37.915918,PL97,words,1,
02.22.37.963026,PL97,words,1,
02.22.37.994318,PL97,words,1,
02.22.38.041207,PL97,words,1,
02.22.38.072452,PL97,words,1,
02.22.38.103684,PL97,words,1,
02.22.38.150459,PL97,words,1,
02.22.38.181810,PL97,words,1,
02.22.38.213097,PL97,words,1,
02.22.38.259959,PL97,words,1,
02.22.38.291223,PL97,words,1,
02.22.38.338082,PL97,words,1,
02.22.38.369334,PL97,words,1,
02.22.38.400475,PL97,words,1,
02.22.38.447495,PL97,words,1,
02.22.38.478742,PL97,words,1,
02.22.38.509734,PL97,words,1,
02.22.38.556862,PL97,words,1,
02.22.38.588141,PL97,words,1,
02.22.38.635022,PL97,words,1,
02.22.38.666000,PL97,words,1,
02.22.38.697524,PL97,words,1,
02.22.38.744402,PL97,words,1,
02.22.38.775627,PL97,words,1,
02.22.38.822534,PL97,words,1,
02.22.38.853783,PL97,words,1,
02.22.38.885040,PL97,words,1,
02.22.38.931939,PL97,words,1,
02.22.38.963139,PL97,words,1,
02.22.38.994426,PL97,words,1,
02.22.39.041316,PL97,words,1,
