03.20.24.126904,SB2,login,
03.20.45.679591,SB2,words,2,
03.20.45.717709,SB2,words,2,
03.20.45.745766,SB2,words,2,
03.20.45.793894,SB2,words,2,
03.20.45.821968,SB2,words,2,
03.20.45.853051,SB2,words,2,
03.20.45.904186,SB2,words,2,
03.20.45.935268,SB2,words,2,
03.20.45.982394,SB2,words,2,
03.20.46.001710,SB2,words,2,
03.20.46.039415,SB2,words,2,
03.20.46.086760,SB2,words,2,
03.20.46.122907,SB2,words,2,
03.20.46.170243,SB2,words,2,
03.20.46.197317,SB2,words,2,
03.20.46.227731,SB2,words,2,
03.20.46.276041,SB2,words,2,
03.20.46.311168,SB2,words,2,
03.20.46.338230,SB2,words,2,
03.20.46.383545,SB2,words,2,
03.20.46.419588,SB2,words,2,
03.20.46.465268,SB2,words,2,
03.20.46.493734,SB2,words,2,
03.20.46.523599,SB2,words,2,
03.20.46.571289,SB2,words,2,
03.20.46.602371,SB2,words,2,
03.20.46.633509,SB2,words,2,
03.20.46.683135,SB2,words,2,
03.20.46.712241,SB2,words,2,
03.20.46.759027,SB2,words,2,
03.20.46.793536,SB2,words,2,
03.20.46.822817,SB2,words,2,
03.20.46.872140,SB2,words,2,
03.20.46.900190,SB2,words,2,
03.20.46.945379,SB2,words,2,
03.20.46.977323,SB2,words,2,
03.20.47.010586,SB2,words,2,
03.20.47.060403,SB2,words,2,
03.20.47.085759,SB2,words,2,
03.20.47.119411,SB2,words,2,
03.20.47.155192,SB2,words,2,
03.20.47.198531,SB2,words,2,
03.20.47.249003,SB2,words,2,
03.20.47.274960,SB2,words,2,
03.20.47.306830,SB2,words,2,
03.20.47.361283,SB2,words,2,
03.20.47.385954,SB2,words,2,
03.20.47.416400,SB2,words,2,
03.20.47.462679,SB2,words,2,
03.20.47.494359,SB2,words,2,
03.20.47.528858,SB2,words,2,
03.20.47.570311,SB2,words,2,
03.20.47.601624,SB2,words,2,
03.20.47.649935,SB2,words,2,
03.20.47.686178,SB2,words,2,
03.20.47.718174,SB2,words,2,
03.20.47.761309,SB2,words,2,
03.20.47.790583,SB2,words,2,
03.20.47.838081,SB2,words,2,
03.20.47.869948,SB2,words,2,
03.20.47.905517,SB2,words,2,
03.20.47.947673,SB2,words,2,
03.20.47.977803,SB2,words,2,
03.20.48.009735,SB2,words,2,
03.20.48.065728,SB2,words,2,
03.20.48.093691,SB2,words,2,
03.20.48.133349,SB2,words,2,
03.20.48.165874,SB2,words,2,
03.20.48.194842,SB2,words,2,
03.20.48.233174,SB2,words,2,
03.20.48.279508,SB2,words,2,
03.20.48.321917,SB2,words,2,
03.20.48.351503,SB2,words,2,
03.20.48.386257,SB2,words,2,
03.20.48.433994,SB2,words,2,
03.20.48.467227,SB2,words,2,
03.20.48.508316,SB2,words,2,
03.20.48.541149,SB2,words,2,
03.20.48.573923,SB2,words,2,
03.20.48.608129,SB2,words,2,
03.20.48.653426,SB2,words,2,
03.20.48.679889,SB2,words,2,
03.20.48.727209,SB2,words,2,
03.20.48.759775,SB2,words,2,
03.20.48.794621,SB2,words,2,
03.20.48.843890,SB2,words,2,
03.20.48.867999,SB2,words,2,
03.20.48.902256,SB2,words,2,
03.20.48.949726,SB2,words,2,
03.20.48.979342,SB2,words,2,
03.20.49.030027,SB2,words,2,
03.20.49.056270,SB2,words,2,
03.20.49.093569,SB2,words,2,
03.20.49.134849,SB2,words,2,
03.20.49.169941,SB2,words,2,
03.20.49.212138,SB2,words,2,
03.20.49.243171,SB2,words,2,
03.20.49.281520,SB2,words,2,
03.20.49.322419,SB2,words,2,
03.20.49.358452,SB2,words,2,
03.20.49.402580,SB2,words,2,
03.20.49.431077,SB2,words,2,
03.20.49.468385,SB2,words,2,
03.20.49.498582,SB2,words,2,
03.20.49.544486,SB2,words,2,
03.20.49.570928,SB2,words,2,
03.20.49.617597,SB2,words,2,
03.20.49.655067,SB2,words,2,
03.20.49.687230,SB2,words,2,
03.20.49.732296,SB2,words,2,
03.20.49.758703,SB2,words,2,
03.20.49.806178,SB2,words,2,
03.20.49.846023,SB2,words,2,
03.20.49.873641,SB2,words,2,
03.20.49.920979,SB2,words,2,
03.20.49.946528,SB2,words,2,
03.20.49.986008,SB2,words,2,
03.20.50.030721,SB2,words,2,
03.20.50.059943,SB2,words,2,
03.20.50.108404,SB2,words,2,
03.20.50.133471,SB2,words,2,
03.20.50.173071,SB2,words,2,
03.20.50.214101,SB2,words,2,
03.20.50.248696,SB2,words,2,
03.20.50.292353,SB2,words,2,
03.20.50.321511,SB2,words,2,
03.20.50.354558,SB2,words,2,
03.20.50.398023,SB2,words,2,
03.20.50.433886,SB2,words,2,
03.20.50.483431,SB2,words,2,
03.20.50.508944,SB2,words,2,
03.20.50.541048,SB2,words,2,
03.20.50.594514,SB2,words,2,
03.20.50.624632,SB2,words,2,
03.20.50.649914,SB2,words,2,
03.20.50.695249,SB2,words,2,
03.20.50.730111,SB2,words,2,
03.20.50.778970,SB2,words,2,
03.20.50.810070,SB2,words,2,
03.20.50.836121,SB2,words,2,
03.20.50.884295,SB2,words,2,
03.20.50.914330,SB2,words,2,
03.20.50.948420,SB2,words,2,
03.20.50.996548,SB2,words,2,
03.20.51.022618,SB2,words,2,
03.20.51.057713,SB2,words,2,
03.20.51.104878,SB2,words,2,
03.20.51.132911,SB2,words,2,
03.20.51.180038,SB2,words,2,
03.20.51.214137,SB2,words,2,
03.20.51.243233,SB2,words,2,
03.20.51.299815,SB2,words,2,
03.20.51.323010,SB2,words,2,
03.20.51.371421,SB2,words,2,
03.20.51.398892,SB2,words,2,
03.20.51.431599,SB2,words,2,
03.20.51.479620,SB2,words,2,
03.20.51.510150,SB2,words,2,
03.20.51.560758,SB2,words,2,
03.20.51.586828,SB2,words,2,
03.20.51.618291,SB2,words,2,
03.20.51.654537,SB2,words,2,
03.20.51.699183,SB2,words,2,
03.21.06.392013,SB2,letters,F E E _,
03.21.06.720968,SB2,letters,F E E L,
03.21.08.060371,SB2,letters,P R O F _ _,
03.21.08.305319,SB2,letters,P R O F I _,
03.21.08.416721,SB2,letters,P R O F I T,
03.21.09.585250,SB2,letters,G U I L T,
03.21.11.197640,SB2,letters,F _ A D,
03.21.11.307372,SB2,letters,F L A D,
03.21.12.463396,SB2,letters,F _ _ T I L E,
03.21.12.628438,SB2,letters,F E _ T I L E,
03.21.12.792207,SB2,letters,F E R T I L E,
03.21.13.804185,SB2,letters,M E R _ Y,
03.21.13.930544,SB2,letters,M E R R Y,
03.21.15.101563,SB2,letters,G _ A R _ D,
03.21.15.197820,SB2,letters,G L A R _ D,
03.21.15.396784,SB2,letters,G L A R E D,
03.21.16.358610,SB2,letters,S M A _ _,
03.21.16.412207,SB2,letters,S M A L _,
03.21.16.616770,SB2,letters,S M A L L,
03.21.17.758212,SB2,letters,F _ _ _ O U S,
03.21.18.046698,SB2,letters,F U _ _ O U S,
03.21.18.174563,SB2,letters,F U R _ O U S,
03.21.18.279910,SB2,letters,F U R I O U S,
03.21.19.493512,SB2,letters,E X H _ _ _,
03.21.19.740233,SB2,letters,E X H A _ _,
03.21.19.852533,SB2,letters,E X H A L _,
03.21.20.926505,SB2,letters,S _ N S E,
03.21.21.103146,SB2,letters,S E N S E,
03.21.22.472185,SB2,letters,J O Y,
03.21.23.413249,SB2,letters,R _ S E T,
03.21.23.592561,SB2,letters,R E S E T,
03.21.24.789198,SB2,letters,G _ E E,
03.21.25.057640,SB2,letters,G L E E,
03.21.26.199458,SB2,letters,D I S Q _ _ _ _,
03.21.26.632055,SB2,letters,D I S Q U _ _ _,
03.21.26.834516,SB2,letters,D I S Q U I _ _,
03.21.28.089802,SB2,letters,D I S Q U I R _,
03.21.28.303368,SB2,letters,D I S Q U I R E,
03.21.29.684568,SB2,letters,G _ P P Y,
03.21.30.192176,SB2,letters,G A P P Y,
03.21.31.244184,SB2,letters,A F R _ _ D,
03.21.31.496463,SB2,letters,A F R A _ D,
03.21.31.597739,SB2,letters,A F R A I D,
03.21.32.622702,SB2,letters,C H A _ R,
03.21.32.712037,SB2,letters,C H A I R,
03.21.33.987898,SB2,letters,F R O _ N,
03.21.34.420440,SB2,letters,F R O W N,
03.21.35.968346,SB2,letters,G _ L L Y,
03.21.36.080132,SB2,letters,G O L L Y,
03.21.56.560903,SB2,picturestory,e,
03.21.56.706474,SB2,picturestory,e,
03.21.56.947199,SB2,picturestory,e,
03.21.56.990430,SB2,picturestory,e,
03.21.57.239057,SB2,picturestory,e,
03.21.57.339527,SB2,picturestory,e,
03.21.57.542146,SB2,picturestory,e,
03.21.57.667810,SB2,picturestory,e,
03.21.57.869441,SB2,picturestory,e,
03.21.57.985137,SB2,picturestory,e,
03.21.58.173392,SB2,picturestory,e,
03.21.58.290813,SB2,picturestory,e,
03.21.58.438509,SB2,picturestory,e,
03.21.58.693479,SB2,picturestory,e,
03.21.58.859461,SB2,picturestory,e,
03.21.59.078174,SB2,picturestory,e,
03.21.59.184809,SB2,picturestory,e,
03.21.59.431130,SB2,picturestory,e,
03.21.59.578064,SB2,picturestory,e,
03.21.59.827010,SB2,picturestory,e,
03.22.13.216139,SB2,picturestory,v,
03.22.13.225165,SB2,picturestory,v,
03.22.13.391492,SB2,picturestory,v,
03.22.13.401488,SB2,picturestory,v,
03.22.13.802787,SB2,picturestory,v,
03.22.13.811812,SB2,picturestory,v,
03.22.13.928459,SB2,picturestory,v,
03.22.13.937498,SB2,picturestory,v,
03.22.14.106629,SB2,picturestory,v,
03.22.14.116648,SB2,picturestory,v,
03.22.14.261832,SB2,picturestory,v,
03.22.14.270895,SB2,picturestory,v,
03.22.14.424744,SB2,picturestory,v,
03.22.14.434771,SB2,picturestory,v,
03.22.14.590402,SB2,picturestory,v,
03.22.14.600409,SB2,picturestory,v,
03.22.14.753630,SB2,picturestory,v,
03.22.14.762691,SB2,picturestory,v,
03.22.14.896594,SB2,picturestory,v,
03.22.14.907623,SB2,picturestory,v,
03.22.15.065084,SB2,picturestory,v,
03.22.15.076153,SB2,picturestory,v,
03.22.15.209003,SB2,picturestory,v,
03.22.15.219030,SB2,picturestory,v,
03.22.15.361676,SB2,picturestory,v,
03.22.15.371703,SB2,picturestory,v,
03.22.15.526180,SB2,picturestory,v,
03.22.15.536167,SB2,picturestory,v,
03.22.15.654896,SB2,picturestory,v,
03.22.15.665887,SB2,picturestory,v,
03.22.15.795230,SB2,picturestory,v,
03.22.15.805258,SB2,picturestory,v,
03.22.15.936607,SB2,picturestory,v,
03.22.15.948638,SB2,picturestory,v,
03.22.16.076921,SB2,picturestory,v,
03.22.16.087916,SB2,picturestory,v,
03.22.16.213751,SB2,picturestory,v,
03.22.16.222777,SB2,picturestory,v,
03.22.16.356588,SB2,picturestory,v,
03.22.16.365630,SB2,picturestory,v,
03.22.16.496642,SB2,picturestory,v,
03.22.16.505667,SB2,picturestory,v,
03.22.28.873780,SB2,picturestory,m,
03.22.28.884810,SB2,picturestory,m,
03.22.28.894837,SB2,picturestory,m,
03.22.29.034645,SB2,picturestory,m,
03.22.29.043669,SB2,picturestory,m,
03.22.29.053705,SB2,picturestory,m,
03.22.29.178198,SB2,picturestory,m,
03.22.29.187222,SB2,picturestory,m,
03.22.29.197248,SB2,picturestory,m,
03.22.29.385206,SB2,picturestory,m,
03.22.29.395233,SB2,picturestory,m,
03.22.29.405285,SB2,picturestory,m,
03.22.29.416280,SB2,picturestory,m,
03.22.29.425304,SB2,picturestory,m,
03.22.29.435365,SB2,picturestory,m,
03.22.29.653334,SB2,picturestory,mm,
03.22.29.662358,SB2,picturestory,mm,
03.22.29.673390,SB2,picturestory,mm,
03.22.29.875231,SB2,picturestory,mm,
03.22.29.886283,SB2,picturestory,mm,
03.22.29.895325,SB2,picturestory,mm,
03.22.29.978568,SB2,picturestory,m,
03.22.29.987625,SB2,picturestory,m,
03.22.29.997619,SB2,picturestory,m,
03.22.30.175917,SB2,picturestory,m,
03.22.30.184941,SB2,picturestory,m,
03.22.30.194974,SB2,picturestory,m,
03.22.30.261214,SB2,picturestory,m,
03.22.30.270221,SB2,picturestory,m,
03.22.30.280246,SB2,picturestory,m,
03.22.30.455259,SB2,picturestory,m,
03.22.30.464295,SB2,picturestory,m,
03.22.30.474310,SB2,picturestory,m,
03.22.30.532943,SB2,picturestory,m,
03.22.30.542976,SB2,picturestory,m,
03.22.30.553034,SB2,picturestory,m,
