05.56.53.706958,s,login,
05.57.28.066477,s,words,1,
05.57.28.097757,s,words,1,
05.57.28.144622,s,words,1,
05.57.28.175634,s,words,1,
05.57.28.206887,s,words,1,
05.57.28.254012,s,words,1,
05.57.28.285256,s,words,1,
05.57.28.324908,s,words,1,
05.57.28.356416,s,words,1,
05.57.28.403308,s,words,1,
05.57.28.434544,s,words,1,
05.57.28.481429,s,words,1,
05.57.28.512664,s,words,1,
05.57.28.543926,s,words,1,
05.57.28.590805,s,words,1,
05.57.28.622069,s,words,1,
05.57.28.653087,s,words,1,
05.57.28.700191,s,words,1,
05.57.28.731434,s,words,1,
05.57.28.778339,s,words,1,
05.57.28.809476,s,words,1,
05.57.28.840846,s,words,1,
05.57.28.887698,s,words,1,
05.57.28.918965,s,words,1,
05.57.28.965858,s,words,1,
05.57.28.997093,s,words,1,
05.57.29.028348,s,words,1,
05.57.29.074989,s,words,1,
05.57.29.106498,s,words,1,
05.57.29.137735,s,words,1,
05.57.29.184634,s,words,1,
05.57.29.215866,s,words,1,
05.57.29.262765,s,words,1,
05.57.29.294015,s,words,1,
05.57.29.325015,s,words,1,
05.57.29.372163,s,words,1,
05.57.29.403395,s,words,1,
05.57.29.434667,s,words,1,
05.57.29.481539,s,words,1,
05.57.29.512538,s,words,1,
05.57.29.559559,s,words,1,
05.57.29.590922,s,words,1,
05.57.29.622177,s,words,1,
05.57.29.669042,s,words,1,
05.57.29.700290,s,words,1,
05.57.29.731307,s,words,1,
05.57.29.778456,s,words,1,
05.57.29.809583,s,words,1,
05.57.29.856548,s,words,1,
05.57.29.887822,s,words,1,
05.57.29.919083,s,words,1,
05.57.29.965961,s,words,1,
05.57.29.997220,s,words,1,
05.57.30.028264,s,words,1,
05.57.30.075101,s,words,1,
05.57.30.106617,s,words,1,
05.57.30.153480,s,words,1,
05.57.30.184709,s,words,1,
05.57.30.215977,s,words,1,
05.57.30.262842,s,words,1,
05.57.30.294129,s,words,1,
05.57.30.340992,s,words,1,
