10.17.29.958840,PL91,login,
10.19.28.624787,PL91,words,2,
10.19.28.671671,PL91,words,2,
10.19.28.702913,PL91,words,2,
10.19.28.749836,PL91,words,2,
10.19.28.781036,PL91,words,2,
10.19.28.812315,PL91,words,2,
10.19.28.859194,PL91,words,2,
10.19.28.890428,PL91,words,2,
10.19.28.921687,PL91,words,2,
10.19.28.968493,PL91,words,2,
10.19.28.999816,PL91,words,2,
10.19.29.046742,PL91,words,2,
10.19.29.077944,PL91,words,2,
10.19.29.109210,PL91,words,2,
10.19.29.156095,PL91,words,2,
10.19.29.187348,PL91,words,2,
10.19.29.218357,PL91,words,2,
10.19.29.265513,PL91,words,2,
10.19.29.296769,PL91,words,2,
10.19.29.343594,PL91,words,2,
10.19.29.374887,PL91,words,2,
10.19.29.405921,PL91,words,2,
10.19.29.452996,PL91,words,2,
10.19.29.484012,PL91,words,2,
10.19.29.531129,PL91,words,2,
10.19.29.562383,PL91,words,2,
10.19.29.593627,PL91,words,2,
10.19.29.640506,PL91,words,2,
10.19.29.671773,PL91,words,2,
10.19.29.703022,PL91,words,2,
10.19.29.749913,PL91,words,2,
10.19.29.781159,PL91,words,2,
10.19.29.827825,PL91,words,2,
10.19.29.859290,PL91,words,2,
10.19.29.890548,PL91,words,2,
10.19.29.937443,PL91,words,2,
10.19.29.968598,PL91,words,2,
10.19.29.999939,PL91,words,2,
10.19.30.046830,PL91,words,2,
10.19.30.078063,PL91,words,2,
10.19.30.124969,PL91,words,2,
10.19.30.156204,PL91,words,2,
10.19.30.187477,PL91,words,2,
10.19.30.234091,PL91,words,2,
10.19.30.265576,PL91,words,2,
10.19.30.296597,PL91,words,2,
10.19.30.343736,PL91,words,2,
10.19.30.374983,PL91,words,2,
10.19.30.421866,PL91,words,2,
10.19.30.453105,PL91,words,2,
10.19.30.484117,PL91,words,2,
10.19.30.531561,PL91,words,2,
10.19.30.562795,PL91,words,2,
10.19.30.593811,PL91,words,2,
10.19.30.640945,PL91,words,2,
10.19.30.672195,PL91,words,2,
10.19.30.718825,PL91,words,2,
10.19.30.750301,PL91,words,2,
10.19.30.781568,PL91,words,2,
10.19.30.828443,PL91,words,2,
10.19.30.859715,PL91,words,2,
10.19.30.906591,PL91,words,2,
10.19.30.937855,PL91,words,2,
10.19.30.969114,PL91,words,2,
10.19.31.020149,PL91,words,2,
10.19.31.044941,PL91,words,2,
10.19.31.092075,PL91,words,2,
10.19.31.123309,PL91,words,2,
10.19.31.154612,PL91,words,2,
10.19.31.201485,PL91,words,2,
10.19.31.232704,PL91,words,2,
10.19.31.263996,PL91,words,2,
10.19.31.310851,PL91,words,2,
10.19.31.342096,PL91,words,2,
10.19.31.388995,PL91,words,2,
10.19.31.420211,PL91,words,2,
10.19.31.451466,PL91,words,2,
10.19.31.498393,PL91,words,2,
10.19.31.529616,PL91,words,2,
10.19.31.560631,PL91,words,2,
10.19.31.607763,PL91,words,2,
10.19.31.638999,PL91,words,2,
10.19.31.685894,PL91,words,2,
10.19.31.716891,PL91,words,2,
10.19.31.748415,PL91,words,2,
10.19.31.795252,PL91,words,2,
10.19.31.826514,PL91,words,2,
