02.53.51.989259,SB11,login,
02.58.34.454191,SB11,words,1,
02.58.34.489284,SB11,words,1,
02.58.34.526382,SB11,words,1,
02.58.34.573508,SB11,words,1,
02.58.34.605595,SB11,words,1,
02.58.34.641083,SB11,words,1,
02.58.34.685998,SB11,words,1,
02.58.34.719458,SB11,words,1,
02.58.34.764510,SB11,words,1,
02.58.34.798412,SB11,words,1,
02.58.34.828688,SB11,words,1,
02.58.34.859847,SB11,words,1,
02.58.34.910391,SB11,words,1,
02.58.34.954741,SB11,words,1,
02.58.34.983048,SB11,words,1,
02.58.35.027221,SB11,words,1,
02.58.35.066684,SB11,words,1,
02.58.35.100776,SB11,words,1,
02.58.35.150594,SB11,words,1,
02.58.35.181678,SB11,words,1,
02.58.35.222797,SB11,words,1,
02.58.35.256073,SB11,words,1,
02.58.35.285151,SB11,words,1,
02.58.35.318241,SB11,words,1,
02.58.35.371797,SB11,words,1,
02.58.35.417568,SB11,words,1,
02.58.35.443636,SB11,words,1,
02.58.35.476112,SB11,words,1,
02.58.35.506183,SB11,words,1,
02.58.35.559318,SB11,words,1,
02.58.35.605121,SB11,words,1,
02.58.35.649244,SB11,words,1,
02.58.35.681329,SB11,words,1,
02.58.35.711438,SB11,words,1,
02.58.35.743516,SB11,words,1,
02.58.35.780354,SB11,words,1,
02.58.35.819828,SB11,words,1,
02.58.35.849041,SB11,words,1,
02.58.35.879190,SB11,words,1,
02.58.35.912245,SB11,words,1,
02.58.35.965548,SB11,words,1,
02.58.36.006224,SB11,words,1,
02.58.36.040422,SB11,words,1,
02.58.36.068455,SB11,words,1,
02.58.36.107523,SB11,words,1,
02.58.36.152643,SB11,words,1,
02.58.36.196762,SB11,words,1,
02.58.36.226842,SB11,words,1,
02.58.36.258925,SB11,words,1,
02.58.36.305049,SB11,words,1,
02.58.36.337137,SB11,words,1,
02.58.36.369219,SB11,words,1,
02.58.36.401304,SB11,words,1,
02.58.36.443797,SB11,words,1,
02.58.36.473940,SB11,words,1,
02.58.36.527907,SB11,words,1,
02.58.36.570285,SB11,words,1,
02.58.36.600388,SB11,words,1,
02.58.36.634523,SB11,words,1,
02.58.36.755867,SB11,words,2,
02.58.37.287708,SB11,words,2,
02.58.37.319796,SB11,words,2,
02.58.37.370753,SB11,words,2,
02.58.37.398787,SB11,words,2,
02.58.37.430869,SB11,words,2,
02.58.37.477563,SB11,words,2,
02.58.37.506640,SB11,words,2,
02.58.37.562461,SB11,words,2,
02.58.37.602257,SB11,words,2,
02.58.37.633343,SB11,words,2,
02.58.37.662522,SB11,words,2,
02.58.37.695791,SB11,words,2,
02.58.37.731940,SB11,words,2,
02.58.37.777609,SB11,words,2,
02.58.37.820105,SB11,words,2,
02.58.37.851188,SB11,words,2,
02.58.37.886560,SB11,words,2,
02.58.37.915640,SB11,words,2,
02.58.37.968331,SB11,words,2,
02.58.38.011864,SB11,words,2,
02.58.38.059829,SB11,words,2,
02.58.38.106228,SB11,words,2,
02.58.38.154573,SB11,words,2,
02.58.38.197707,SB11,words,2,
02.58.38.248907,SB11,words,2,
02.58.38.291806,SB11,words,2,
02.58.38.322024,SB11,words,2,
02.58.38.359867,SB11,words,2,
02.58.38.388366,SB11,words,2,
02.58.38.422050,SB11,words,2,
02.58.38.470134,SB11,words,2,
02.58.38.496472,SB11,words,2,
02.58.38.541457,SB11,words,2,
02.58.38.579487,SB11,words,2,
02.58.38.606641,SB11,words,2,
02.58.38.653966,SB11,words,2,
02.58.38.683693,SB11,words,2,
02.58.38.721966,SB11,words,2,
02.58.38.766053,SB11,words,2,
02.58.38.798485,SB11,words,2,
02.58.38.843068,SB11,words,2,
02.58.38.871327,SB11,words,2,
02.58.38.904965,SB11,words,2,
02.58.38.955734,SB11,words,2,
02.58.38.999091,SB11,words,2,
02.58.39.049399,SB11,words,2,
02.58.39.095182,SB11,words,2,
02.58.39.138756,SB11,words,2,
02.58.39.183994,SB11,words,2,
02.58.39.220056,SB11,words,2,
02.58.39.262282,SB11,words,2,
02.58.39.314351,SB11,words,2,
02.58.39.356692,SB11,words,2,
02.58.39.409649,SB11,words,2,
02.58.39.449991,SB11,words,2,
02.58.39.501863,SB11,words,2,
02.58.39.552761,SB11,words,2,
02.58.39.597328,SB11,words,2,
02.58.39.641443,SB11,words,2,
02.58.39.693590,SB11,words,2,
02.58.39.732708,SB11,words,2,
02.58.39.785829,SB11,words,2,
02.58.39.828962,SB11,words,2,
02.58.39.875065,SB11,words,2,
02.58.39.922688,SB11,words,2,
02.58.39.969345,SB11,words,2,
02.58.40.012537,SB11,words,2,
02.58.40.061803,SB11,words,2,
02.58.40.111431,SB11,words,2,
02.58.40.151944,SB11,words,2,
02.58.40.185020,SB11,words,2,
02.58.40.233986,SB11,words,2,
02.58.40.276522,SB11,words,2,
02.58.40.319317,SB11,words,2,
02.58.40.358580,SB11,words,2,
02.58.40.408097,SB11,words,2,
02.58.40.450210,SB11,words,2,
02.58.40.499598,SB11,words,2,
02.58.40.550610,SB11,words,2,
02.58.40.595572,SB11,words,2,
02.58.40.639849,SB11,words,2,
02.58.40.690171,SB11,words,2,
02.58.40.740760,SB11,words,2,
02.58.40.786933,SB11,words,2,
02.58.40.826181,SB11,words,2,
02.58.40.873761,SB11,words,2,
02.58.40.923118,SB11,words,2,
02.58.40.963752,SB11,words,2,
02.58.40.999841,SB11,words,2,
02.58.41.051511,SB11,words,2,
02.58.41.092655,SB11,words,2,
02.58.41.139967,SB11,words,2,
02.58.41.184355,SB11,words,2,
02.58.41.231605,SB11,words,2,
02.58.41.282927,SB11,words,2,
02.58.41.326348,SB11,words,2,
02.58.41.374946,SB11,words,2,
02.58.41.453155,SB11,words,2,
02.58.41.504290,SB11,words,2,
02.58.41.546417,SB11,words,2,
02.58.41.578515,SB11,words,2,
02.58.41.612580,SB11,words,2,
02.58.41.641656,SB11,words,2,
02.58.41.669731,SB11,words,2,
02.58.41.704823,SB11,words,2,
02.58.41.734307,SB11,words,2,
02.58.41.785362,SB11,words,2,
02.58.41.809828,SB11,words,2,
02.58.41.846009,SB11,words,2,
02.58.41.893486,SB11,words,2,
02.58.41.924153,SB11,words,2,
02.58.41.972128,SB11,words,2,
02.58.41.996434,SB11,words,2,
02.58.42.031699,SB11,words,2,
02.58.42.074569,SB11,words,2,
02.58.42.107671,SB11,words,2,
02.58.42.143442,SB11,words,2,
02.58.42.184821,SB11,words,2,
02.58.42.220080,SB11,words,2,
02.58.42.269494,SB11,words,2,
02.58.42.294758,SB11,words,2,
02.58.42.340557,SB11,words,2,
02.58.42.371687,SB11,words,2,
02.58.42.405273,SB11,words,2,
02.58.42.455084,SB11,words,2,
02.58.42.486617,SB11,words,2,
02.58.42.515661,SB11,words,2,
02.58.42.556439,SB11,words,2,
02.58.42.587372,SB11,words,2,
02.58.42.637443,SB11,words,2,
02.58.42.672242,SB11,words,2,
02.58.42.699713,SB11,words,2,
02.58.42.744289,SB11,words,2,
02.58.42.776175,SB11,words,2,
02.58.42.809033,SB11,words,2,
02.58.42.855703,SB11,words,2,
02.58.42.890110,SB11,words,2,
02.58.42.919411,SB11,words,2,
02.58.42.964483,SB11,words,2,
02.58.42.994987,SB11,words,2,
02.58.43.049777,SB11,words,2,
02.58.43.073267,SB11,words,2,
02.58.43.121718,SB11,words,2,
02.58.43.153803,SB11,words,2,
02.58.43.183089,SB11,words,2,
02.58.43.231027,SB11,words,2,
02.58.43.266179,SB11,words,2,
02.58.43.295961,SB11,words,2,
02.58.43.329817,SB11,words,2,
02.58.43.371655,SB11,words,2,
02.58.43.405338,SB11,words,2,
02.58.43.454610,SB11,words,2,
02.58.43.490606,SB11,words,2,
02.58.43.532481,SB11,words,2,
02.58.43.558750,SB11,words,2,
02.58.43.588891,SB11,words,2,
02.58.43.640323,SB11,words,2,
02.58.43.669517,SB11,words,2,
02.58.43.703323,SB11,words,2,
02.58.43.747206,SB11,words,2,
02.58.43.776346,SB11,words,2,
02.58.43.831338,SB11,words,2,
02.58.43.853398,SB11,words,2,
02.58.43.890515,SB11,words,2,
02.58.43.932647,SB11,words,2,
02.58.43.965511,SB11,words,2,
02.58.44.016274,SB11,words,2,
02.58.44.049184,SB11,words,2,
02.58.44.074627,SB11,words,2,
02.58.44.122314,SB11,words,2,
02.58.44.155483,SB11,words,2,
02.58.44.186795,SB11,words,2,
02.58.44.221903,SB11,words,2,
02.58.44.269142,SB11,words,2,
02.58.44.307768,SB11,words,2,
02.58.44.338893,SB11,words,2,
02.58.44.370300,SB11,words,2,
02.58.44.422552,SB11,words,2,
02.58.44.452024,SB11,words,2,
02.58.44.487741,SB11,words,2,
02.58.44.527412,SB11,words,2,
02.58.44.559867,SB11,words,2,
02.58.44.605644,SB11,words,2,
02.58.44.639352,SB11,words,2,
02.58.44.667814,SB11,words,2,
02.58.44.706126,SB11,words,2,
02.58.44.744786,SB11,words,2,
02.58.44.795749,SB11,words,2,
