02.53.51.989259,SB11,login,
02.54.10.390679,SB11,words,1,
02.54.10.422632,SB11,words,1,
02.54.10.452785,SB11,words,1,
02.54.10.495086,SB11,words,1,
02.54.10.523408,SB11,words,1,
02.54.10.581878,SB11,words,1,
02.54.10.606755,SB11,words,1,
02.54.10.638027,SB11,words,1,
02.54.10.681827,SB11,words,1,
02.54.10.719677,SB11,words,1,
02.54.10.764931,SB11,words,1,
02.54.10.795968,SB11,words,1,
02.54.10.822232,SB11,words,1,
02.54.10.858184,SB11,words,1,
02.54.10.901105,SB11,words,1,
02.54.10.932791,SB11,words,1,
02.54.10.969055,SB11,words,1,
02.54.11.013571,SB11,words,1,
02.54.11.047793,SB11,words,1,
02.54.11.091863,SB11,words,1,
02.54.11.120200,SB11,words,1,
02.54.11.170722,SB11,words,1,
02.54.11.200809,SB11,words,1,
02.54.11.231884,SB11,words,1,
02.54.11.276001,SB11,words,1,
02.54.11.305081,SB11,words,1,
02.54.11.357217,SB11,words,1,
02.54.11.387298,SB11,words,1,
02.54.11.418383,SB11,words,1,
02.54.11.469532,SB11,words,1,
02.54.11.492578,SB11,words,1,
02.54.11.527680,SB11,words,1,
02.54.11.577787,SB11,words,1,
02.54.11.607730,SB11,words,1,
02.54.11.640847,SB11,words,1,
02.54.11.681834,SB11,words,1,
02.54.11.715570,SB11,words,1,
02.54.11.765013,SB11,words,1,
02.54.11.796137,SB11,words,1,
02.54.11.837953,SB11,words,1,
02.54.11.869193,SB11,words,1,
02.54.11.900738,SB11,words,1,
02.54.11.946891,SB11,words,1,
02.54.11.978053,SB11,words,1,
02.54.12.017715,SB11,words,1,
02.54.12.057176,SB11,words,1,
02.54.12.089492,SB11,words,1,
02.54.12.141373,SB11,words,1,
02.54.12.173383,SB11,words,1,
02.54.12.203908,SB11,words,1,
02.54.12.235760,SB11,words,1,
02.54.12.284072,SB11,words,1,
02.54.12.308413,SB11,words,1,
02.54.12.352201,SB11,words,1,
02.54.12.389634,SB11,words,1,
02.54.12.422595,SB11,words,1,
02.54.12.462466,SB11,words,1,
02.54.12.494347,SB11,words,1,
02.54.12.548328,SB11,words,1,
02.54.12.573261,SB11,words,1,
02.54.12.619638,SB11,words,1,
02.54.12.652340,SB11,words,1,
02.54.12.682836,SB11,words,1,
02.54.12.717288,SB11,words,1,
02.54.12.764726,SB11,words,1,
02.54.12.807555,SB11,words,1,
02.54.12.828133,SB11,words,1,
02.54.12.869530,SB11,words,1,
02.54.12.904993,SB11,words,1,
02.54.12.953596,SB11,words,1,
02.54.12.977328,SB11,words,1,
02.54.13.017710,SB11,words,1,
02.54.13.056572,SB11,words,1,
02.54.13.091094,SB11,words,1,
02.54.13.138685,SB11,words,1,
02.54.13.164805,SB11,words,1,
02.54.13.219957,SB11,words,1,
02.54.13.245185,SB11,words,1,
02.54.13.276655,SB11,words,1,
02.54.13.322116,SB11,words,1,
02.54.13.356723,SB11,words,1,
02.54.13.388888,SB11,words,1,
02.54.13.432385,SB11,words,1,
02.54.13.464452,SB11,words,1,
02.54.13.514422,SB11,words,1,
02.54.13.546639,SB11,words,1,
02.54.13.592594,SB11,words,1,
02.54.13.621123,SB11,words,1,
02.54.13.652420,SB11,words,1,
02.54.13.696637,SB11,words,1,
02.54.13.728602,SB11,words,1,
02.54.13.764375,SB11,words,1,
02.54.13.795840,SB11,words,1,
02.54.13.839280,SB11,words,1,
02.54.13.870207,SB11,words,1,
02.54.13.918419,SB11,words,1,
02.54.13.954126,SB11,words,1,
02.54.13.986326,SB11,words,1,
02.54.14.028496,SB11,words,1,
02.54.14.057181,SB11,words,1,
02.54.14.110566,SB11,words,1,
02.54.14.139081,SB11,words,1,
02.54.14.181626,SB11,words,1,
02.54.14.216776,SB11,words,1,
02.54.14.242845,SB11,words,1,
02.54.14.297728,SB11,words,1,
02.54.14.339867,SB11,words,1,
02.54.14.369678,SB11,words,1,
02.54.14.390369,SB11,words,1,
02.54.14.434852,SB11,words,1,
02.54.14.467921,SB11,words,1,
02.54.14.516847,SB11,words,1,
02.54.14.551529,SB11,words,1,
02.54.14.592290,SB11,words,1,
02.54.14.619920,SB11,words,1,
