04.51.24.799495,PL301,login,
11.24.31.658655,PL301,words,1,
11.24.31.689927,PL301,words,1,
11.24.31.720922,PL301,words,1,
11.24.31.768022,PL301,words,1,
11.24.31.799283,PL301,words,1,
11.24.31.830295,PL301,words,1,
11.24.31.877427,PL301,words,1,
11.24.31.908664,PL301,words,1,
11.24.31.955553,PL301,words,1,
11.24.31.986703,PL301,words,1,
11.24.32.018065,PL301,words,1,
11.24.32.064923,PL301,words,1,
11.24.32.096176,PL301,words,1,
11.24.32.127202,PL301,words,1,
11.24.32.174335,PL301,words,1,
11.24.32.205580,PL301,words,1,
11.24.32.252480,PL301,words,1,
11.24.32.283717,PL301,words,1,
11.24.32.314956,PL301,words,1,
11.24.32.361845,PL301,words,1,
11.24.32.393082,PL301,words,1,
11.24.32.440013,PL301,words,1,
11.24.32.471153,PL301,words,1,
11.24.32.502496,PL301,words,1,
11.24.32.549157,PL301,words,1,
11.24.32.580596,PL301,words,1,
11.24.32.611896,PL301,words,1,
11.24.32.658774,PL301,words,1,
11.24.32.690027,PL301,words,1,
11.24.32.736664,PL301,words,1,
11.24.32.768137,PL301,words,1,
11.24.32.799408,PL301,words,1,
11.24.32.846273,PL301,words,1,
11.24.32.877514,PL301,words,1,
11.24.32.908839,PL301,words,1,
11.24.32.955969,PL301,words,1,
11.24.32.986974,PL301,words,1,
11.24.33.034122,PL301,words,1,
11.24.33.065352,PL301,words,1,
11.24.33.096627,PL301,words,1,
11.24.33.143504,PL301,words,1,
11.24.33.174738,PL301,words,1,
11.24.33.214609,PL301,words,1,
11.24.33.246124,PL301,words,1,
11.24.33.292992,PL301,words,1,
11.24.33.324772,PL301,words,1,
11.24.33.364780,PL301,words,1,
11.24.33.396037,PL301,words,1,
11.24.33.442948,PL301,words,1,
11.24.33.474211,PL301,words,1,
11.24.33.505417,PL301,words,1,
11.24.33.552335,PL301,words,1,
11.24.33.583565,PL301,words,1,
11.24.33.614574,PL301,words,1,
11.24.33.661682,PL301,words,1,
11.24.33.692992,PL301,words,1,
11.24.33.739848,PL301,words,1,
11.24.33.771024,PL301,words,1,
11.24.33.802095,PL301,words,1,
11.24.33.849251,PL301,words,1,
11.24.33.880457,PL301,words,1,
11.24.33.927122,PL301,words,1,
11.24.33.958361,PL301,words,1,
11.24.33.989614,PL301,words,1,
11.24.34.036494,PL301,words,1,
11.24.34.067747,PL301,words,1,
11.24.34.099001,PL301,words,1,
11.24.34.145881,PL301,words,1,
11.24.34.177137,PL301,words,1,
11.24.34.224260,PL301,words,1,
11.24.34.255556,PL301,words,1,
11.24.34.286521,PL301,words,1,
11.24.34.333669,PL301,words,1,
11.24.34.364919,PL301,words,1,
11.24.34.395908,PL301,words,1,
11.24.34.443067,PL301,words,1,
11.24.34.474319,PL301,words,1,
11.24.34.521103,PL301,words,1,
11.24.34.552412,PL301,words,1,
11.24.34.583658,PL301,words,1,
11.24.34.630558,PL301,words,1,
11.24.34.661811,PL301,words,1,
11.24.34.708696,PL301,words,1,
11.24.34.739971,PL301,words,1,
11.24.34.771112,PL301,words,1,
11.24.34.818116,PL301,words,1,
11.24.34.849334,PL301,words,1,
11.24.34.880582,PL301,words,1,
11.24.34.935369,PL301,words,1,
11.24.34.966660,PL301,words,1,
11.24.34.997908,PL301,words,1,
11.24.35.029153,PL301,words,1,
11.24.35.076046,PL301,words,1,
11.24.35.107290,PL301,words,1,
11.24.35.154097,PL301,words,1,
11.24.35.185226,PL301,words,1,
11.24.35.216423,PL301,words,1,
11.24.35.263306,PL301,words,1,
11.24.35.294557,PL301,words,1,
11.24.35.325809,PL301,words,1,
11.24.35.372691,PL301,words,1,
11.24.35.403948,PL301,words,1,
11.24.35.450824,PL301,words,1,
11.24.35.482318,PL301,words,1,
11.24.35.513591,PL301,words,1,
11.24.35.560463,PL301,words,1,
11.24.35.591743,PL301,words,1,
11.24.35.622716,PL301,words,1,
11.24.35.669615,PL301,words,1,
11.24.35.701115,PL301,words,1,
11.24.35.747988,PL301,words,1,
11.24.35.779249,PL301,words,1,
11.24.35.810502,PL301,words,1,
11.24.35.857396,PL301,words,1,
11.24.35.888651,PL301,words,1,
11.24.35.935514,PL301,words,1,
11.24.35.966751,PL301,words,1,
11.24.35.998033,PL301,words,1,
11.24.36.044855,PL301,words,1,
11.24.36.076129,PL301,words,1,
11.24.36.107412,PL301,words,1,
11.24.36.154184,PL301,words,1,
11.24.36.192778,PL301,words,1,
11.24.36.224313,PL301,words,1,
11.24.36.255289,PL301,words,1,
11.24.36.302401,PL301,words,1,
11.24.36.333647,PL301,words,1,
11.24.36.380564,PL301,words,1,
11.24.36.411785,PL301,words,1,
11.24.36.442807,PL301,words,1,
11.24.36.489963,PL301,words,1,
11.24.36.521035,PL301,words,1,
11.24.36.552204,PL301,words,1,
11.24.36.599340,PL301,words,1,
11.24.36.630601,PL301,words,1,
11.24.36.677462,PL301,words,1,
11.24.36.708736,PL301,words,1,
11.24.36.739985,PL301,words,1,
11.24.36.786628,PL301,words,1,
11.24.36.818100,PL301,words,1,
11.24.36.864972,PL301,words,1,
11.24.36.896207,PL301,words,1,
11.24.36.927479,PL301,words,1,
11.24.36.974356,PL301,words,1,
11.24.37.005605,PL301,words,1,
11.24.37.036632,PL301,words,1,
11.24.37.083765,PL301,words,1,
11.24.37.115023,PL301,words,1,
11.24.37.161881,PL301,words,1,
11.24.37.193151,PL301,words,1,
11.24.37.224404,PL301,words,1,
11.24.37.271021,PL301,words,1,
11.24.37.302508,PL301,words,1,
11.24.37.333527,PL301,words,1,
11.24.37.380652,PL301,words,1,
11.24.37.411907,PL301,words,1,
11.24.37.458770,PL301,words,1,
11.24.37.490072,PL301,words,1,
11.24.37.521059,PL301,words,1,
11.24.37.568199,PL301,words,1,
11.24.37.599470,PL301,words,1,
11.24.37.646330,PL301,words,1,
11.24.37.677569,PL301,words,1,
11.24.37.708797,PL301,words,1,
11.25.50.922561,PL301,login,
11.37.07.501465,PL301,login,
11.37.16.244512,PL301,letters,F E E _,
11.38.56.915542,PL301,login,
11.39.03.331308,PL301,letters,F E E _,
11.39.08.959878,PL301,letters,P R O G _ _,
11.39.26.390523,PL301,letters,P R O G T _,
11.40.38.910808,PL301,login,
11.46.47.638331,PL301,login,
11.46.56.607191,PL301,letters,P R O G _ _,
11.50.52.528673,PL301,login,
11.50.59.456118,PL301,letters,F E E _,
11.51.11.772707,PL301,letters,P R O F _ _,
11.53.17.072886,PL301,login,
11.53.25.067216,PL301,letters,G U I L T,
11.53.31.159776,PL301,letters,G _ A D,
11.54.26.378645,PL301,login,
11.54.33.130581,PL301,letters,P R O G _ _,
11.54.38.361471,PL301,letters,G U I L T,
11.54.54.434315,PL301,letters,G _ _ T I L E,
11.54.59.513182,PL301,letters,G E R _ Y,
12.01.21.026261,pl301,login,
12.01.34.484437,pl301,letters,G U I L T,
12.01.42.712786,pl301,letters,G _ A D,
12.07.02.159429,PL301,login,
12.07.10.458029,PL301,letters,P R O F _ _,
12.07.15.839289,PL301,letters,F U I L T,
12.07.24.826098,PL301,letters,H _ A D,
12.07.44.254617,PL301,letters,H X A D,
12.24.18.861080,PL301,login,
12.24.32.601730,PL301,letters,G U I L T,
12.29.46.785772,PL301,login,
12.30.23.234014,PL301,letters,P R O F _ _,
12.30.30.471275,PL301,letters,P R O F F _,
12.37.30.477177,PL301,login,
12.37.43.910574,PL301,letters,G U I L T,
12.37.51.879948,PL301,letters,G _ A D,
12.46.32.892058,PL301,login,
12.49.00.289346,PL301,login,
12.49.10.988317,PL301,letters,E U I L T,
12.49.24.720977,PL301,letters,G _ _ T I L E,
12.49.39.660821,PL301,letters,F E R _ Y,
12.49.46.494225,PL301,letters,S M R _ _,
12.51.02.672739,PL301,login,
12.51.09.568625,PL301,letters,P R O E _ _,
12.51.20.330708,PL301,letters,T U I L T,
12.51.24.218995,PL301,letters,G _ A D,
12.51.26.869823,PL301,letters,G L A D,
12.51.32.235103,PL301,letters,F _ _ T I L E,
12.51.33.924916,PL301,letters,F E _ T I L E,
12.51.34.979337,PL301,letters,F E R T I L E,
12.53.40.138092,PL301,login,
12.54.13.244284,PL301,letters,P R O E _ _,
04.17.02.748109,PL301,login,
04.33.54.886791,PL301,login,
04.34.31.513058,PL301,letters,G__TILE,
04.41.39.902271,PL301,login,
04.41.48.803291,PL301,letters,PROE__,
04.43.20.194570,PL301,login,
04.43.46.531743,PL301,letters,P R O E _ _,
04.47.00.345532,PL301,login,
04.47.21.341878,PL301,letters,P R O E _ _,
04.48.29.248002,PL301,login,
04.49.13.665662,PL301,letters,P R O E _ _,
05.10.02.918588,PL301,login,
05.10.10.739213,PL301,letters,P R O E _ _,
05.12.07.694048,PL301,login,
05.12.14.750867,PL301,letters,P R O E _ _,
05.15.22.840020,PL301,login,
05.15.30.164573,PL301,letters,P R O E _ _,
05.15.30.873744,PL301,letters,P R O E E _,
05.15.31.456607,PL301,letters,P R O E E E,
05.15.38.228516,PL301,letters,E U I L T,
05.16.31.299186,PL301,login,
05.16.39.456429,PL301,letters,P R O E _ _,
05.18.27.758539,PL301,login,
05.18.39.224300,PL301,letters,P R O E _ _,
05.18.41.342329,PL301,letters,P R O E E _,
05.18.42.386677,PL301,letters,P R O E E E,
05.20.26.342434,PL301,login,
05.21.15.874750,PL301,login,
05.21.32.573530,PL301,letters,F E E _,
05.21.44.196853,PL301,letters,F E E E,
05.23.01.448644,PL301,login,
05.23.09.091358,PL301,letters,F E E _,
05.23.18.426874,PL301,letters,F E E L,
05.23.31.018289,PL301,letters,P R O F _ _,
05.23.33.245257,PL301,letters,P R O F I _,
05.23.33.598228,PL301,letters,P R O F I T,
05.23.45.715956,PL301,letters,G U I L T,
05.23.56.392123,PL301,letters,G _ A D,
05.24.06.236884,PL301,letters,G L A D,
05.25.09.148654,PL301,login,
05.25.15.096964,PL301,letters,F E E _,
05.25.15.515356,PL301,letters,F E E L,
05.25.26.969218,PL301,letters,P R O F _ _,
05.25.27.346382,PL301,letters,P R O F I _,
05.25.27.548941,PL301,letters,P R O F I T,
05.25.35.381218,PL301,letters,G U I L T,
05.25.53.504595,PL301,letters,G _ A D,
05.25.54.042469,PL301,letters,G L A D,
10.29.51.531152,PL301,login,
10.30.04.248603,PL301,letters,F E E _,
10.30.12.634141,PL301,letters,F E E E,
10.30.19.766321,PL301,letters,P R O R _ _,
10.30.29.324664,PL301,letters,P R O R T _,
10.30.29.918431,PL301,letters,P R O R T T,
10.32.04.328673,PL301,login,
10.32.11.619500,PL301,letters,F E E _,
10.32.14.377166,PL301,letters,F E E E,
10.33.12.850657,PL301,login,
10.33.17.145337,PL301,letters,F E E _,
10.33.20.702708,PL301,letters,F E E E,
10.33.23.181329,PL301,letters,P R O O _ _,
10.33.25.617628,PL301,letters,P R O O F _,
10.33.29.027440,PL301,letters,P R O O F F,
10.33.32.218180,PL301,letters,G U I L T,
10.33.34.005288,PL301,letters,G _ A D,
10.33.34.802179,PL301,letters,G L A D,
10.33.37.989294,PL301,letters,F _ _ T I L E,
10.33.38.367765,PL301,letters,F E _ T I L E,
10.33.38.585082,PL301,letters,F E R T I L E,
10.33.41.923821,PL301,letters,M E R _ Y,
10.33.44.576556,PL301,letters,M E R R Y,
10.33.46.769317,PL301,letters,G _ A R _ D,
10.33.49.436870,PL301,letters,G L A R _ D,
10.33.50.482336,PL301,letters,G L A R E D,
10.33.52.321095,PL301,letters,S M A _ _,
10.33.53.232696,PL301,letters,S M A L _,
10.33.53.374007,PL301,letters,S M A L L,
10.33.54.997711,PL301,letters,F _ _ _ O U S,
10.33.56.563075,PL301,letters,F U _ _ O U S,
10.33.58.089726,PL301,letters,F U R _ O U S,
10.33.58.363744,PL301,letters,F U R I O U S,
10.33.59.898270,PL301,letters,E X H _ _ _,
10.34.00.026613,PL301,letters,E X H A _ _,
10.34.00.206090,PL301,letters,E X H A L _,
10.34.00.296329,PL301,letters,E X H A L E,
10.34.01.236951,PL301,letters,S _ N S E,
10.34.01.455531,PL301,letters,S E N S E,
10.34.02.595419,PL301,letters,J O Y,
10.34.03.873438,PL301,letters,R _ S E T,
10.34.04.059246,PL301,letters,R E S E T,
10.34.05.565243,PL301,letters,F _ E E,
10.34.05.742812,PL301,letters,F L E E,
10.34.07.051259,PL301,letters,D I S Q _ _ _ _,
10.34.07.330342,PL301,letters,D I S Q U _ _ _,
10.34.07.565581,PL301,letters,D I S Q U I _ _,
10.34.07.702446,PL301,letters,D I S Q U I E _,
10.34.07.952262,PL301,letters,D I S Q U I E T,
10.34.09.163151,PL301,letters,H _ P P Y,
10.34.09.291870,PL301,letters,H A P P Y,
10.34.10.373112,PL301,letters,A F R _ _ D,
10.34.10.654143,PL301,letters,A F R A _ D,
10.34.10.763245,PL301,letters,A F R A I D,
10.34.11.921775,PL301,letters,C H A _ R,
10.34.12.152504,PL301,letters,C H A I R,
10.34.14.058294,PL301,letters,F R O _ N,
10.34.14.467222,PL301,letters,F R O W N,
10.34.16.288625,PL301,letters,J _ L L Y,
10.34.16.549778,PL301,letters,J O L L Y,
10.35.36.757553,PL301,login,
10.35.41.497283,PL301,letters,F E E _,
10.35.42.149428,PL301,letters,F E E L,
10.35.44.426719,PL301,letters,P R O O _ _,
10.35.47.466481,PL301,letters,P R O O F _,
10.35.47.736655,PL301,letters,P R O O F S,
10.35.49.942556,PL301,letters,G U I L T,
10.35.53.900138,PL301,letters,G _ A D,
10.35.54.002018,PL301,letters,G L A D,
10.35.55.989003,PL301,letters,F _ _ T I L E,
10.35.56.201401,PL301,letters,F E _ T I L E,
10.35.56.369515,PL301,letters,F E R T I L E,
10.35.58.215854,PL301,letters,M E R _ Y,
10.35.58.613980,PL301,letters,M E R R Y,
10.36.00.694236,PL301,letters,G _ A R _ D,
10.36.00.822104,PL301,letters,G L A R _ D,
10.36.01.571860,PL301,letters,G L A R E D,
10.36.03.252211,PL301,letters,S M A _ _,
10.36.03.487840,PL301,letters,S M A L _,
10.36.03.627211,PL301,letters,S M A L L,
10.36.05.581841,PL301,letters,F _ _ _ O U S,
10.36.05.842653,PL301,letters,F A _ _ O U S,
10.36.05.942340,PL301,letters,F A M _ O U S,
10.36.06.168322,PL301,letters,F A M O O U S,
10.36.09.063987,PL301,letters,E X H _ _ _,
10.36.09.565498,PL301,letters,E X H A _ _,
10.36.09.797006,PL301,letters,E X H A L _,
10.36.09.933276,PL301,letters,E X H A L E,
10.36.11.536687,PL301,letters,S _ N S E,
10.36.11.750650,PL301,letters,S E N S E,
10.36.13.633054,PL301,letters,J O Y,
10.36.15.433860,PL301,letters,R _ S E T,
10.36.15.904202,PL301,letters,R E S E T,
10.36.17.803282,PL301,letters,F _ E E,
10.36.17.910744,PL301,letters,F L E E,
10.36.19.603912,PL301,letters,D I S Q _ _ _ _,
10.36.19.951054,PL301,letters,D I S Q U _ _ _,
10.36.20.120023,PL301,letters,D I S Q U I _ _,
10.36.20.307534,PL301,letters,D I S Q U I E _,
10.36.20.508213,PL301,letters,D I S Q U I E T,
10.36.22.250978,PL301,letters,H _ P P Y,
10.36.22.405362,PL301,letters,H A P P Y,
10.36.24.232817,PL301,letters,A F R _ _ D,
10.36.24.581328,PL301,letters,A F R I _ D,
10.36.28.992989,PL301,letters,A F L _ _ D,
10.36.30.847668,PL301,letters,A F L R _ D,
10.36.31.422084,PL301,letters,A F L R F D,
10.36.33.161368,PL301,letters,C H A _ R,
10.36.33.349510,PL301,letters,C H A I R,
10.36.35.348904,PL301,letters,F R O _ N,
10.36.35.581997,PL301,letters,F R O W N,
10.36.38.371830,PL301,letters,G _ L L Y,
10.36.38.597837,PL301,letters,G O L L Y,
10.40.24.106664,PL301,login,
10.40.27.785819,PL301,letters,F E E _,
10.40.28.051477,PL301,letters,F E E L,
10.40.30.200349,PL301,letters,P R O O _ _,
10.40.30.669166,PL301,letters,P R O O F _,
10.40.31.012689,PL301,letters,P R O O F S,
10.40.32.942572,PL301,letters,G U I L T,
10.40.34.637405,PL301,letters,G _ A D,
10.40.34.762418,PL301,letters,G L A D,
10.40.36.794036,PL301,letters,F _ _ T I L E,
10.40.36.997168,PL301,letters,F E _ T I L E,
10.40.37.169035,PL301,letters,F E R T I L E,
10.40.39.004417,PL301,letters,M E R _ Y,
10.40.39.207830,PL301,letters,M E R R Y,
10.40.41.184092,PL301,letters,G _ A R _ D,
10.40.41.309362,PL301,letters,G L A R _ D,
10.40.41.527906,PL301,letters,G L A R E D,
10.40.43.084430,PL301,letters,S M A _ _,
10.40.43.287539,PL301,letters,S M A L _,
10.40.43.466729,PL301,letters,S M A L L,
10.40.45.429980,PL301,letters,F _ _ _ O U S,
10.40.46.351723,PL301,letters,F U _ _ O U S,
10.40.46.820513,PL301,letters,F U R _ O U S,
10.40.46.929915,PL301,letters,F U R I O U S,
10.40.48.624445,PL301,letters,E X H _ _ _,
10.40.48.765123,PL301,letters,E X H A _ _,
10.40.48.936983,PL301,letters,E X H A L _,
10.40.49.015385,PL301,letters,E X H A L E,
10.40.50.536980,PL301,letters,S _ N S E,
10.40.50.724774,PL301,letters,S E N S E,
10.40.52.521848,PL301,letters,J O Y,
10.40.53.998894,PL301,letters,R _ S E T,
10.40.54.186439,PL301,letters,R E S E T,
10.40.55.928234,PL301,letters,F _ E E,
10.40.56.037661,PL301,letters,F L E E,
10.40.57.584946,PL301,letters,D I S Q _ _ _ _,
10.40.57.959709,PL301,letters,D I S Q U _ _ _,
10.40.58.162847,PL301,letters,D I S Q U I _ _,
10.40.58.319126,PL301,letters,D I S Q U I E _,
10.40.58.506887,PL301,letters,D I S Q U I E T,
10.41.00.055339,PL301,letters,H _ P P Y,
10.41.00.211682,PL301,letters,H A P P Y,
10.41.01.821180,PL301,letters,A F R _ _ D,
10.41.02.071436,PL301,letters,A F R A _ D,
10.41.02.211817,PL301,letters,A F R A I D,
10.41.03.790834,PL301,letters,C H A _ R,
10.41.04.009381,PL301,letters,C H A I R,
10.41.05.957989,PL301,letters,F R O _ N,
10.41.06.289184,PL301,letters,F R O W N,
10.41.09.054868,PL301,letters,G _ L L Y,
10.41.09.180098,PL301,letters,G O L L Y,
